关键字,分类,上级,下级
土壤侵蚀,地理过程,土壤退化,水力、风力、降水、破坏、移动
土壤退化,环境问题,土壤,
土壤,概念,,
指,概念,,
水力,外力作用,外力,降水
风力,外力作用,外力,
外力,概念,作用力,
作用,概念,,
发生,概念,,
破坏,过程,侵蚀,降水
移动,过程,侵蚀,
过程,概念,,
导致,因果关系,,
土地退化,环境问题,土地,
影响,概念,,
农业生产,人类活动,农业,
生态环境,环境,地理环境,
造成,因果关系,,
主要,修饰词,,
自然因素,因素,自然,降水
降水,降水型,气候要素,
温度,温度型,气候要素,
光照,光照型,气候要素,
盐碱土,土壤类型,土壤,干旱半干旱、沿海低洼、矿化度、含盐高
土壤类型,概念,土壤,
分布,空间特征,地理,
干旱半干旱地区,气候区,气候区划,盐碱土、含盐高
干旱,气候特征,气候,盐碱土
半干旱,气候特征,气候,
地区,空间概念,区域,
以及,概念,,
沿海,地理位置,地理,盐碱土
低洼地带,地形特征,地形,盐碱土
地带,空间概念,区域,
矿化度,土壤指标,土壤,含盐高
高,修饰词,,
作物,植物,农业,
生长,生物过程,生物,
需要,概念,,
通过,概念,,
灌溉,农业措施,农业,
淋洗,改良措施,土壤改良,
措施,概念,,
改良,农业活动,农业,
特征,概念,,
含盐高,含盐高型,土壤特征,
肥力高,肥力高型,土壤特征,
酸性强,酸性强型,土壤特征,
热带雨林,生态系统,森林生态,物种、繁多、植被茂密、丰富
森林,植被类型,植被,
生态系统,概念,生态学,
地球,天体,天体系统,
物种,生物概念,生物,繁多、丰富
极其,修饰词,,
繁多,多样性特征,生物多样性,丰富
植被,概念,生物,
茂密,植被特征,植被,
分层,结构特征,植被结构,
明显,修饰词,,
全年,时间,时间,
常绿,植被特征,植被,
调节,作用,,
全球气候,气候,气候系统,
方面,概念,,
发挥,概念,,
重要,修饰词,,
作用,概念,,
物种多样性,生物多样性,生物,丰富
多样性,概念,生物,
特点,概念,,
丰富,丰富型,多样性特征,
单一,单一型,多样性特征,
中等,中等型,多样性特征,
城市化,地理过程,城市地理,人口、城市、人口集聚、集中
城市地理,概念,地理,
人口,概念,,
向,概念,,
城市,概念,,
移动,过程,,
产业活动,经济活动,产业,
空间,概念,,
集中,过程,城市化,人口集聚
表现,概念,,
城市人口,人口类型,人口,人口集聚
比重,指标,,
上升,过程,,
城市用地,土地类型,城市,
规模,概念,,
扩大,过程,,
直接,修饰词,,
表现,概念,,
人口集聚,人口集聚型,城市化表现,
农业发展,农业发展型,经济现象,
工业衰退,工业衰退型,经济现象,
农业,概念,,
区位选择,地理决策,区位,气候、自然条件
区位,概念,地理,
选择,概念,,
综合,修饰词,,
考虑,概念,,
气候,气候型,自然条件,
地形,地形型,自然条件,
水源,水源型,自然条件,
自然条件,条件,自然,气候
市场,市场型,社会经济条件,
社会经济条件,条件,经济,
首要,修饰词,,
自然,概念,,
政策,政策型,社会因素,
技术,技术型,社会因素,
