关键字,分类,上级,下级
地理自然系统,通用,无,地形地貌、气象与气候、水文地理、土壤与植被
地形地貌,地形地貌,地理自然系统,地形、地貌、地质作用、地壳运动
地形,地形地貌,地形地貌,地形基本类型、海拔、起伏、坡度
地貌,地形地貌,地形地貌,外力地貌、内力地貌、微地貌
地形基本类型,地形地貌,地形,山地、高原、丘陵、平原、盆地
地质作用,地形地貌,地形地貌,内力作用、外力作用
内力作用,地形地貌,地质作用,地壳运动、岩浆活动、变质作用
外力作用,地形地貌,地质作用,风化、侵蚀、搬运、堆积、河流冲积
地壳运动,地形地貌,内力作用,板块运动、水平挤压、张裂下陷、地壳抬升
板块运动,地形地貌,地壳运动,板块碰撞、板块张裂、消亡边界、生长边界
侵蚀作用,地形地貌,外力作用,流水侵蚀、风力侵蚀、冰川侵蚀、海水侵蚀
堆积作用,地形地貌,外力作用,流水堆积、风力堆积、冰川堆积、海水堆积
山地,地形地貌,地形基本类型,海拔500米以上、坡度陡、峰谷相间、褶皱山、断块山
高原,地形地貌,地形基本类型,海拔500米以上、内部平坦、边缘陡峭、青藏高原、黄土高原
丘陵,地形地貌,地形基本类型,海拔200-500米、起伏和缓、坡度小、江南丘陵
平原,地形地貌,地形基本类型,海拔200米以下、平坦开阔、河网密布、冲积平原、河流冲积
盆地,地形地貌,地形基本类型,四周高中间低、盆状分布、塔里木盆地、四川盆地
海拔,地形地貌,地形,高海拔、低海拔、地势高低
起伏,地形地貌,地形,地表起伏大、地表起伏小、坦荡、崎岖
坡度,地形地貌,地形,陡坡、缓坡、阳坡、阴坡
流水侵蚀,地形地貌,侵蚀作用,河谷、峡谷、沟壑纵横、溶蚀、流水溶蚀、河流侵蚀
流水堆积,地形地貌,堆积作用,三角洲、冲积扇、冲积平原、河口、平原形成、泥沙堆积
风力侵蚀,地形地貌,侵蚀作用,风蚀蘑菇、雅丹地貌、剥蚀
风力堆积,地形地貌,堆积作用,沙丘、黄土积累、沙漠、风力搬运
喀斯特地貌,地形地貌,外力地貌,溶洞、石林、峰林、石灰岩、溶蚀作用、流水溶蚀
黄土地貌,地形地貌,外力地貌,黄土塬、黄土墚、黄土峁、千沟万壑、土质疏松
丹霞地貌,地形地貌,外力地貌,红色砂岩、垂直节理、流水侵蚀
海岸地貌,地形地貌,外力地貌,海蚀崖、沙滩、潟湖
冰川地貌,地形地貌,外力地貌,U形谷、角峰、冰碛平原
板块挤压,地形地貌,板块运动,隆起、褶皱山脉、海沟、消亡边界、地壳抬升
板块张裂,地形地貌,板块运动,裂谷、海洋、生长边界、板块分离、张力
喜马拉雅山脉,地形地貌,山地,消亡边界、板块挤压、地壳抬升、世界屋脊、珠穆朗玛峰
安第斯山脉,地形地貌,山地,美洲板块、太平洋板块、碰撞挤压、世界最长
青藏高原,地形地貌,高原,高海拔、板块挤压、冰川广布、地表起伏小、内部平坦、边缘陡峭、地壳抬升
黄土高原,地形地貌,高原,流水侵蚀、千沟万壑、风力堆积、垂直发育、沟壑纵横
云贵高原,地形地貌,高原,崎岖不平、喀斯特地貌、石灰岩分布、流水溶蚀、溶洞
内蒙古高原,地形地貌,高原,坦荡开阔、风力作用、草原荒漠、风力侵蚀、风力堆积
塔里木盆地,地形地貌,盆地,深居内陆、气候干旱、沙漠广布、风力堆积、塔克拉玛干沙漠
四川盆地,地形地貌,盆地,紫色土、气候湿润、地势低、四周环山、天府之国、河网密布
长江中下游平原,地形地貌,平原,河网密布、流水堆积、地势低平、水稻土、雨热同期
东北平原,地形地貌,平原,黑土肥沃、面积广阔、冷湿环境、黑土、腐殖质
华北平原,地形地貌,平原,黄河冲积、旱涝灾害、盐碱化、黄河、古河道
冰川侵蚀,地形地貌,侵蚀作用,冰斗、角峰、U形谷
冰川堆积,地形地貌,堆积作用,冰碛丘、冰碛平原
U形谷,地形地貌,冰川侵蚀,冰川作用、V形谷转化
角峰,地形地貌,冰川侵蚀,相邻冰川侵蚀、山峰尖锐
黑土,地形地貌,东北平原,腐殖质丰富、肥力高、植被积累
腐殖质,地形地貌,黑土,有机物分解、营养物质
草甸草原,地形地貌,黑土,植被类型、有机物来源
矿产资源,地形地貌,经济地理,盆地矿物、能源开发、盐类矿产
盐类矿产,地形地貌,矿产资源,钾盐、钠盐、盐湖
钾盐,地形地貌,盐类矿产,肥料原料、柴达木盆地
