关键字,分类,上级,下级
岩石圈,地球圈层,,
物质循环,循环过程,,
描述,动词,,
三大,修饰词,,
之间,介词,,
相互转化,过程,,
岩石圈物质循环,地质循环,,岩石类型、岩浆岩、沉积岩
岩石类型,岩石分类,岩石圈物质循环,岩浆岩、沉积岩
岩浆岩,岩浆岩型,岩石类型,
沉积岩,沉积岩型,岩石类型,
大气,大气型,地球圈层,
地球圈层,地球系统,,
全球,地理范围,,
气候变暖,气候变化,,变暖影响、海平面上升、极端天气
当前,时间词,,
面临,动词,,
重大,修饰词,,
环境问题,问题类型,,
自然环境,环境系统,,
人类社会,社会系统,,
广泛,修饰词,,
变暖影响,影响类型,气候变暖,海平面上升、极端天气
海平面上升,海平面上升型,变暖影响,
极端天气,极端天气型,变暖影响,
气温下降,气温下降型,气候变冷影响,
气候变冷影响,影响类型,,
地壳,地球结构,,
地球内力,地质力量,,
内力,力量,,
表现形式,形式概念,,
方式,概念,,
塑造,动词,,
地表,地理单元,,
基本,修饰词,,
形态,概念,,
地壳运动,地质运动,,地壳运动类型、水平运动、垂直运动
地壳运动类型,运动分类,地壳运动,水平运动、垂直运动
水平运动,水平运动型,地壳运动类型,
垂直运动,垂直运动型,地壳运动类型,
降水,降水型,外力作用,
外力作用,地质作用,,
风化作用,地质作用,,风化类型、物理风化、化学风化
岩石,地质物质,,
条件,概念,,
破碎,过程,,
分解,过程,,
风化类型,风化分类,风化作用,物理风化、化学风化
物理风化,物理风化型,风化类型,
化学风化,化学风化型,风化类型,
板块运动,板块运动型,内力作用,
内力作用,地质作用,,
生态系统,生态概念,,生物成分、生产者、消费者
成分,组成部分,,
非生物,非生物概念,,
其中,连接词,,
生物,生物概念,,
部分,概念,,
功能,作用,,
类群,分类单元,,
生物成分,生态成分,生态系统,生产者、消费者
生产者,生产者型,生物成分,
消费者,消费者型,生物成分,
岩石,岩石型,非生物成分,
非生物成分,生态成分,,
