关键字,分类,上级,下级
U型谷,决策型,题目选项,nan
U型谷谷底宽阔,地形与地貌,U型谷谷底宽阔、两侧陡峭,nan
U型谷谷底宽阔、两侧陡峭,决策型,题目选项,U型谷谷底宽阔、两侧陡峭
U形谷,地形地貌,冰川侵蚀,冰川作用、V形谷转化
V型谷,地形地貌,河流侵蚀,谷壁陡峭、流水下切
V型谷谷底狭窄,地形与地貌,V型谷谷底狭窄、深度大,nan
V型谷谷底狭窄、深度大,决策型,题目选项,V型谷谷底狭窄、深度大、谷底窄
三角洲,决策型,河口地形、题目选项,泥沙堆积、河流近海、三角洲（堆积）
三角洲形成于河流入海口,地形与地貌,冲积扇形成于河流山口，三角洲形成于河流入海口,nan
三角洲是典型的河流堆积地貌,地形与地貌,河流携带的泥沙在入海口处堆积，逐渐形成三角洲,
三角洲是典型的河流堆积地貌。当河流携带泥沙到达入海口时，流速减慢，加之海水（湖水）顶托，泥沙沉积形成三角洲。,地形与地貌,河流携带的泥沙在入海口处堆积，逐渐形成三角洲,
上下岩层硬度差异大（上部坚硬,地形与地貌,上下岩层硬度差异大（上部坚硬、下部松软）,nan
上下岩层硬度差异大（上部坚硬、下部松软）,决策型,题目选项,上下岩层硬度差异大（上部坚硬、下部松软）、瀑布需要陡崖和差异侵蚀，下部松软岩层被侵蚀快，形成陡坎。、下部松软岩层被侵蚀快
上游以侵蚀作用为主,地形与地貌,上游以侵蚀作用为主，多峡谷,nan
上游以侵蚀作用为主，多峡谷,决策型,题目选项,上游以侵蚀作用为主、多峡谷
上部侵蚀弱,地形与地貌,风力侵蚀,
上部岩石较坚硬,地形与地貌,上部岩石较坚硬，下部岩石较松软,nan
上部岩石较坚硬，下部岩石较松软,决策型,题目选项,上部岩石较坚硬、下部岩石较松软
下游以堆积作用为主,地形与地貌,下游以堆积作用为主，多平原,nan
下游以堆积作用为主，多平原,决策型,题目选项,下游以堆积作用为主、多平原、下游堆积强
下部岩石较松软,地形与地貌,上部岩石较坚硬，下部岩石较松软,nan
下部松软）,地形与地貌,上下岩层硬度差异大（上部坚硬、下部松软）,nan
不利于农业机械化,地形与地貌,地表崎岖，不利于农业机械化，适合发展林业和畜牧业,
不易被外力侵蚀,决策型,题目选项,抗侵蚀能力强
不适合大规模机械化农业生产,地形与地貌,地表平坦，适合大规模农业生产,
且降水丰富,地形与地貌,石灰岩广布，且降水丰富,
丘陵,地形地貌,地形基本类型,海拔200-500米、起伏和缓、坡度小、江南丘陵
丘陵海拔一般高于平原（200-500米 vs <200米）,地形与地貌,丘陵海拔高于平原，地表起伏小于山地,
丘陵海拔一般高于平原（200-500米 vs <200米），且有一定起伏，但起伏程度远小于山地。A、B选项说反了。,地形与地貌,丘陵海拔高于平原，地表起伏小于山地,
丘陵海拔高于平原,地形与地貌,丘陵海拔高于平原，地表起伏小于山地,
丘陵海拔高于平原，地表起伏小于山地,决策型,题目选项,丘陵海拔高于平原、地表起伏小于山地、丘陵海拔一般高于平原（200-500米 vs <200米），且有一定起伏，但起伏程度远小于山地。A、B选项说反了。、丘陵海拔一般高于平原（200-500米 vs <200米）、但起伏程度远小于山地
丘陵的根本区别在于地表起伏程度（相对高差,地形与地貌,地表起伏程度,
丘陵的海拔一般在200-500米,地形与地貌,海拔多在200-500米之间，起伏和缓,
丘陵的海拔一般在200-500米，地表起伏和缓，山东丘陵符合此特征。,地形与地貌,海拔多在200-500米之间，起伏和缓,
东北平原,决策型,平原、题目选项,黑土肥沃、面积广阔、冷湿环境、黑土、腐殖质、东北平原主要由辽河、东欧平原（侵蚀-堆积）
东北平原主要由辽河,地形与地貌,东北平原,
东南丘陵,地形地貌,丘陵,江南地区、风化地貌
东南丘陵是典型的丘陵地形，海拔多在200-500米，地表起伏和缓。,地形与地貌,海拔多在200-500米之间，地表起伏和缓,
东欧平原,地形地貌,平原,欧洲、冰蚀冰碛
东欧平原（侵蚀-堆积）,地形与地貌,东北平原,
东非大裂谷,决策型,裂谷、题目选项,非洲板块、典型张裂、东非大裂谷（板块张裂）与板块运动相关、东非大裂谷（板块张裂）、东非大裂谷是非洲板块内部张裂
东非大裂谷是非洲板块内部张裂,地形与地貌,东非大裂谷,
东非高原,地形与地貌,青藏高原,
两侧陡峭,地形与地貌,U型谷谷底宽阔、两侧陡峭,nan
两大板块持续挤压,地形与地貌,板块挤压,
两广丘陵,地形地貌,丘陵,南部地区、喀斯特发育
中间低,地形与地貌,中间低、四周高,nan
中间低、四周高,决策型,题目选项,中间低、四周高、盆地四周高中间低
丹霞地貌,决策型,外力地貌、题目选项,红色砂岩、垂直节理、流水侵蚀、峰林和丹霞地貌景观独特、丹霞地貌景观独特
丹霞地貌多分布在湿润地区,地形与地貌,雅丹地貌多分布在干旱地区，丹霞地貌多分布在湿润地区,nan
丹霞地貌由流水作用形成,地形与地貌,雅丹地貌由风力作用形成，丹霞地貌由流水作用形成,nan
主要分布在河流中下游地区,地形与地貌,主要分布在河流中下游地区和沿海地区,
主要分布在河流中下游地区和沿海地区,决策型,题目选项,主要分布在河流中下游地区、沿海地区、平原多为堆积平原，多形成于河流中下游（冲积平原）和沿海地区（海积平原）。板块交界处多山地、高原。、多形成于河流中下游（冲积平原）和沿海地区（海积平原）
主要分布在黄土高原,决策型,题目选项,黄土高原黄土地貌是风积黄土
主要由内力板块挤压形成,决策型,题目选项,山地主要是由内力作用（尤其是板块挤压形成的褶皱山、断层山）主导形成的。外力作用会对山地起侵蚀破坏作用。、山地主要是由内力作用（尤其是板块挤压形成的褶皱山
二级阶梯的分界线是昆仑山—祁连山—横断山脉,地形与地貌,昆仑山、祁连山、横断山脉,
云贵高原,决策型,高原、题目选项,崎岖不平、喀斯特地貌、石灰岩分布、流水溶蚀、溶洞、云贵高原石灰岩厚度大
云贵高原石灰岩分布广泛,地形与地貌,石灰岩广布，且降水丰富,
云贵高原石灰岩厚度大,地形与地貌,云贵高原,
亚丁湾,地形地貌,张裂地带,沉积盆地、板块张裂
亚欧板块,地形与地貌,板块运动、亚欧板块与印度洋板块,喜马拉雅、挤压边界
亚欧板块与印度洋板块,决策型,题目选项,亚欧板块、印度洋板块、珠穆朗玛峰位于亚欧板块与印度洋板块的碰撞边界、印度洋板块的碰撞边界、印度洋板块向北俯冲挤压
亚欧板块碰撞挤压,地形与地貌,板块挤压,
亚热带季风气候,地形地貌,气候类型,雨热同期、长江流域
亚热带季风气候特征是夏季高温多雨,地形与地貌,夏季高温多雨，冬季温和少雨,
亚热带季风气候特征是夏季高温多雨，冬季温和（低温）少雨。A是温带季风气候，C是热带雨林气候。,地形与地貌,夏季高温多雨，冬季温和少雨,
亚马孙平原,地形地貌,平原,世界最大平原、河流冲积
以侵蚀为主,地形与地貌,凹岸流速快，以侵蚀为主,nan
以堆积为主,地形与地貌,凸岸流速慢，以堆积为主,nan
伸展应力,地形地貌,板块作用,板块张裂、拉张作用
