关键字,分类,上级,下级
持续增长,人口地理,人口地理,持续增长
劳动力不足、养老压力大,人口地理,人口地理,劳动力不足、养老压力大
商业区,城市地理,城市地理,商业区
地价低、运输便利、污染小,工业地理,工业地理,地价低、运输便利、污染小
城市外缘、上风上水地带,城市地理,城市地理,城市外缘、上风上水地带
交通拥堵、住房紧张、环境恶化,城市地理,城市地理,交通拥堵、住房紧张、环境恶化
小农经营、单产高、商品率低,农业地理,农业地理,小农经营、单产高、商品率低
美国中央大平原,农业地理,农业地理,美国中央大平原
靠近城市、交通便利、饲料充足,农业地理,农业地理,靠近城市、交通便利、饲料充足
生产规模大、专业化程度高,其他,其他,生产规模大、专业化程度高
原料导向型工业,其他,其他,原料导向型工业
市场导向型工业,其他,其他,市场导向型工业
动力导向型工业,其他,其他,动力导向型工业
劳动力导向型工业,其他,其他,劳动力导向型工业
高等院校和科研院所附近,其他,其他,高等院校和科研院所附近
继续扩大传统工业规模,其他,其他,继续扩大传统工业规模
意大利东北部和中部,其他,其他,意大利东北部和中部
铁路或水运,其他,其他,铁路或水运
短途、小批量、鲜活货物,其他,其他,短途、小批量、鲜活货物
贵重、急需、轻型物品,其他,其他,贵重、急需、轻型物品
港阔水深、避风、地形平坦,其他,其他,港阔水深、避风、地形平坦
人口多、市场大、交通便利,其他,其他,人口多、市场大、交通便利
交通便利、物流高效,其他,其他,交通便利、物流高效
资源数量,其他,其他,资源数量
利于可持续发展,其他,其他,利于可持续发展
虚假城市化或滞后城市化,其他,其他,虚假城市化或滞后城市化
城市环境恶化、乡村设施完善,其他,其他,城市环境恶化、乡村设施完善
市场,其他,其他,市场
扩大农产品销售范围,其他,其他,扩大农产品销售范围
气候湿润、土壤呈酸性、地形有坡度,其他,其他,气候湿润、土壤呈酸性、地形有坡度
水源,其他,其他,水源
热量相对充足、水源便利,其他,其他,热量相对充足、水源便利
降低生产成本、提高利润,其他,其他,降低生产成本、提高利润
寻找最优区位、降低成本,其他,其他,寻找最优区位、降低成本
区域发展的先行官,其他,其他,区域发展的先行官
交通枢纽或人口密集区,其他,其他,交通枢纽或人口密集区
发展,其他,其他,发展
清洁生产,其他,其他,清洁生产
生态农业,其他,其他,生态农业
地区间经济发展不平衡,其他,其他,地区间经济发展不平衡
提供充足廉价劳动力,其他,其他,提供充足廉价劳动力
劳动力短缺、土地撂荒,其他,其他,劳动力短缺、土地撂荒
住宅区,其他,其他,住宅区
地租较高,其他,其他,地租较高
城市人口和用地规模扩大,其他,其他,城市人口和用地规模扩大
热带地区,其他,其他,热带地区
园艺业、水果种植,其他,其他,园艺业、水果种植
港口和市场,其他,其他,港口和市场
人口稠密、工资较低地区,其他,其他,人口稠密、工资较低地区
矿产资源,其他,其他,矿产资源
交通便利、人流物流集中,其他,其他,交通便利、人流物流集中
减小坡度、降低工程难度,其他,其他,减小坡度、降低工程难度
减少对城区交通干扰,其他,其他,减少对城区交通干扰
品质、安全、多样化,其他,其他,品质、安全、多样化
发展新兴产业和第三产业,其他,其他,发展新兴产业和第三产业
传统生育观念影响,其他,其他,传统生育观念影响
生态功能,其他,其他,生态功能
规划改造、完善基础设施,其他,其他,规划改造、完善基础设施
东北平原,其他,其他,东北平原
商品率高、生产周期短,其他,其他,商品率高、生产周期短
节能减排、优化布局,其他,其他,节能减排、优化布局
劳动密集型或资源密集型产业,其他,其他,劳动密集型或资源密集型产业
增加就业、促进工业化,其他,其他,增加就业、促进工业化
交通干线附近,其他,其他,交通干线附近
增大,其他,其他,增大
城市内涝,其他,其他,城市内涝
整体性和差异性,其他,其他,整体性和差异性
社会经济因素,区域发展,区域发展,社会经济因素
供水、运输、防卫功能,其他,其他,供水、运输、防卫功能
地形、耕地、水源,其他,其他,地形、耕地、水源
高楼林立、经济活动繁忙,其他,其他,高楼林立、经济活动繁忙
租金较低、方便工人上下班,其他,其他,租金较低、方便工人上下班
耐寒、早熟,其他,其他,耐寒、早熟
远离居民区、位于下风下水地带,其他,其他,远离居民区、位于下风下水地带
提高商品流通效率,其他,其他,提高商品流通效率
交通、餐饮、住宿、购物,其他,其他,交通、餐饮、住宿、购物
人类不合理活动,其他,其他,人类不合理活动
生态可持续,其他,其他,生态可持续
拉力因素,其他,其他,拉力因素
推力因素,其他,其他,推力因素
人口工业集中、废热多、散热慢,其他,其他,人口工业集中、废热多、散热慢
增加绿地和水域、节能减排,其他,其他,增加绿地和水域、节能减排
季风气候,其他,其他,季风气候
机械化、规模化生产,其他,其他,机械化、规模化生产
更快,其他,其他,更快
保护生态、防治滑坡泥石流,其他,其他,保护生态、防治滑坡泥石流
地形、交通、人口,其他,其他,地形、交通、人口
资源、技术、人才合理流动,其他,其他,资源、技术、人才合理流动
新工业区,其他,其他,新工业区
符合区域发展规律,其他,其他,符合区域发展规律
因地制宜、可持续利用,其他,其他,因地制宜、可持续利用
高耗水工业,其他,其他,高耗水工业
中低纬度近海平原,其他,其他,中低纬度近海平原
实现城市有序、高效、宜居发展,其他,其他,实现城市有序、高效、宜居发展
更加紧密,其他,其他,更加紧密
用地紧张、污染集中,其他,其他,用地紧张、污染集中
地形、气候、水源,其他,其他,地形、气候、水源
方格放射式或环形放射式,其他,其他,方格放射式或环形放射式
人地协调、可持续发展,其他,其他,人地协调、可持续发展
人口,人口地理,人口,持续增长
出生率,人口地理,出生率,持续增长
死亡率,人口地理,死亡率,持续增长
自然,人口地理,自然,持续增长
增长率,人口地理,增长率,持续增长
等于,人口地理,等于,持续增长
减去,人口地理,减去,持续增长
长期,人口地理,长期,持续增长
高于,人口地理,高于,持续增长
总量,人口地理,总量,持续增长
可能,人口地理,可能,持续增长
出现,人口地理,出现,持续增长
变化,人口地理,变化,持续增长
人口老龄化,人口地理,人口老龄化,劳动力不足、养老压力大
老年人,人口地理,老年人,劳动力不足、养老压力大
不断,人口地理,不断,劳动力不足、养老压力大
上升,人口地理,上升,劳动力不足、养老压力大
带来,人口地理,带来,劳动力不足、养老压力大
主要,人口地理,主要,劳动力不足、养老压力大
社会,人口地理,社会,劳动力不足、养老压力大
问题,人口地理,问题,劳动力不足、养老压力大
城市,城市地理,城市,商业区
中心区,城市地理,中心区,商业区
通常,城市地理,通常,商业区
地租,城市地理,地租,商业区
最高,城市地理,最高,商业区
交通,城市地理,交通,商业区
便利,城市地理,便利,商业区
密集,城市地理,密集,商业区
适合,城市地理,适合,商业区
布局,城市地理,布局,商业区
功能区,城市地理,功能区,商业区
工业区,工业地理,工业区,地价低、运输便利、污染小
降低成本,工业地理,降低成本,地价低、运输便利、污染小
减少,工业地理,减少,地价低、运输便利、污染小
污染,工业地理,污染,地价低、运输便利、污染小
外围,工业地理,外围,地价低、运输便利、污染小
干线,工业地理,干线,地价低、运输便利、污染小
附近,工业地理,附近,地价低、运输便利、污染小
考虑,工业地理,考虑,地价低、运输便利、污染小
因素,工业地理,因素,地价低、运输便利、污染小
高级,城市地理,高级,城市外缘、上风上水地带
环境质量,城市地理,环境质量,城市外缘、上风上水地带
条件,城市地理,条件,城市外缘、上风上水地带
配套,城市地理,配套,城市外缘、上风上水地带
设施,城市地理,设施,城市外缘、上风上水地带
要求,城市地理,要求,城市外缘、上风上水地带
