关键字,分类,上级,下级
中国,国家,地理区域,西部地区、东部地区
我国,国家,地理区域,西部地区、东部地区
西部地区,区域,地理分区,西部特征、高原、盆地
东部地区,区域,地理分区,东部特征、平原
地势,地貌,地形特征,地势特征、西高东低
西高东低,地势特征,地势,阶梯分布、高度差异、西部区域
地势高峻,地形特征,西部地区,高原、盆地、山地
山脉,地形实体,地形,山地、山峰
山脉众多,地形特征,西部地区,高原、盆地
高原和盆地,地形组合,西部地区,高原、盆地
相间分布,分布特征,西部地区,高原、盆地
地形格局,空间格局,西部地区,高原、盆地
独特,修饰词,,
主要,修饰词,,
地形类型,概念,地形,
高原,高原型,地形,
平原,平原型,地形,
盆地,盆地型,地形,
西部特征,地理特征,地理,高原、盆地
东部特征,地理特征,地理,平原
西部区域,区域特征,地理分区,高原、盆地
地势特征,地形特征,地形,
阶梯分布,地势特征,地势,
高度差异,地势特征,地势,
地形特征,概念,地形,
地理分区,概念,地理,
地形,概念,,
地貌,概念,,
喀斯特地貌,特殊地貌,地貌,喀斯特特征、溶洞、石林
西南地区,区域,地理分区,喀斯特特征、溶洞、石林
可溶性岩石,岩石类型,岩石,喀斯特特征
石灰岩,岩石类型,可溶性岩石,喀斯特特征
流水,外力作用,自然营力,侵蚀、溶蚀、喀斯特特征
溶蚀作用,外力作用,流水作用,喀斯特特征、溶洞、石林
典型景观,景观,地貌,喀斯特特征
喀斯特特征,地貌特征,地貌,溶洞、石林
溶洞,溶洞型,喀斯特地貌,
石林,石林型,喀斯特地貌,
沙丘,沙丘型,风力地貌,
外力作用,地质作用,地质作用,外力特征、峡谷、三角洲
地表形态,地形地貌,自然地理,平原、高原、盆地
流水作用,外力作用,外力作用,侵蚀、搬运、沉积、外力特征
风力,外力作用,外力作用,风蚀、风积
冰川,外力作用,外力作用,冰蚀、冰碛
塑造,地质过程,外力作用,外力特征
外力特征,地貌特征,地貌,峡谷、三角洲
峡谷,峡谷型,流水地貌,
三角洲,三角洲型,流水地貌,
火山锥,火山锥型,火山地貌,
青藏高原,高原实体,高原,青藏特征、高寒、冰川
世界屋脊,地理名称,青藏高原,青藏特征
海拔,地形参数,地形特征,青藏特征
冰川广布,地形特征,青藏高原,青藏特征
大河,水文,河流,
发源地,水文特征,河流,青藏特征
地貌特征,特征,地貌,
青藏特征,高原特征,高原,高寒、冰川
高寒,高寒型,气候特征,
冰川,冰川型,地貌类型,
平坦,平坦型,地形特征,
黄土高原,高原实体,高原,黄土特征、黄土塬、黄土梁
中部地区,区域,地理分区,黄土特征、黄土塬、黄土梁
黄土层,土壤物质,黄土,黄土特征
深厚,修饰词,,
水土流失,地理过程,侵蚀作用,黄土特征
千沟万壑,地貌景观,黄土地貌,黄土特征
独特景观,景观,地貌,黄土特征
黄土特征,高原特征,高原,黄土塬、黄土梁
黄土塬,黄土塬型,黄土地貌,
黄土梁,黄土梁型,黄土地貌,
黄土峁,黄土峁型,黄土地貌,
冰川谷,冰川谷型,冰川地貌,

丹霞地貌,特殊地貌,地貌,丹霞特征、红层、流水
红色砂砾岩,岩石类型,岩石,丹霞特征
红层,红层型,岩石类型,
流水侵蚀,外力作用,流水作用,丹霞特征
风化作用,外力作用,地质作用,丹霞特征
奇特,修饰词,,
山峰,地形,地貌,
峭壁,地形,地貌,
