关键字,分类,上级,下级
一般,气象与气候,水文系统,夏季、春季、秋季、冬季、一样多、更快、更慢、不变
上升,气象与气候,水文系统,水位、潜水、地下水位、流量、补给量
下列,气象与气候,水文系统,长江、塔里木河、构造湖、承压水、外流河、内流河、冰川融水、湖泊补给、南水北调、三角洲、水电站、淡水湖、咸水湖、潜水、承压水、洪涝、干旱、地面沉降、海水入侵、植树造林、围湖造田、滴灌、锋面雨、地形雨、对流雨
下沉,气象与气候,水文系统,地下水位、潜水、水位
下降,气象与气候,水文系统,地下水位、潜水、流量、水位、含沙量
不同,气象与气候,水文系统,外流河、内流河、潜水、承压水、淡水湖、咸水湖、春汛、夏汛
不足,气象与气候,水文系统,补给量、水资源、降水量、径流量
世界,气象与气候,水文系统,外流河、内流河、水循环、水能资源
东南,气象与气候,水文系统,季风、水汽输送、降水、东南风
两者,气象与气候,水文系统,潜水与承压水、外流河与内流河、淡水湖与咸水湖、春汛与夏汛、冰川融水与降水补给
中纬度,气象与气候,水文系统,外流河、内流河、温带海洋性气候区河流、径流
丰富,气象与气候,水文系统,水资源、降水、补给量、径流量、水能资源、生物多样性
为主,气象与气候,水文系统,降水补给、冰川融水补给、地下水补给、积雪融水补给、旱地农业、水田农业
二氧化碳,气象与气候,水文系统,全球气候变暖、冰川融化、海平面上升
亚欧大陆,气象与气候,水文系统,外流河、内流河、季风气候区河流、水循环
亚热带,气象与气候,水文系统,亚热带季风气候区河流、流量大、汛期长、无结冰期、河网密布
交替,气象与气候,水文系统,汛期、干湿季、地表径流与地下径流
人类,气象与气候,水文系统,修建水库、围湖造田、植树造林、过度开采地下水、滴灌、工业废水、农业污染、南水北调、地面沉降、海水入侵、水污染
位于,气象与气候,水文系统,外流河、内流河、青藏高原、黄土高原、长江中下游平原、华北地区、东北地区、西北地区、东南沿海、干旱地区、半干旱地区
位置,气象与气候,水文系统,海陆位置、地形位置、流域位置、潜水埋藏位置、承压水埋藏位置
低于,气象与气候,水文系统,地下水位、海平面、潜水水位、结冰期气温阈值
低气压,气象与气候,水文系统,降水、季风、水汽输送
体现,气象与气候,水文系统,水文特征、流量、汛期、含沙量、结冰期、流速、水能资源
作用,气象与气候,水文系统,植被保持水土、湖泊调蓄、水库调节、水循环更新水资源、地形影响流速、洋流影响水文
信风带,气象与气候,水文系统,水汽输送、降水、热带地区河流补给
充足,气象与气候,水文系统,降水、补给量、水资源、水汽、径流量
全球,气象与气候,水文系统,水循环、气候变暖、冰川融化、海平面上升、水资源分布、水文灾害
关系,气象与气候,水文系统,气候与水文、地形与水文、植被与水文、人类活动与水文、地表水与地下水补给
具有,气象与气候,水文系统,水文特征、调蓄能力、涵养水源能力、水能资源、结冰期、汛期
内陆地区,决策型,水文系统,内流河、温带大陆性气候、干旱、冰川融水补给、径流量小、季节变化大
农业,气象与气候,水文系统,滴灌、喷灌、灌溉、农业污染、农药化肥、旱地农业、水田农业、甘蔗、小麦、水稻
冰原,气象与气候,水文系统,冰川融水、极地水文、海平面上升、冰川补给
冰川,气象与气候,水文系统,冰川融水补给、冰川融化、海平面上升、高海拔河流、内流河补给
冰雪,气象与气候,水文系统,冰雪融水、春季汛、高海拔河流、西北内陆河流
冷夏,气象与气候,水文系统,温带地区河流、结冰期、气温对融水的影响
冷空气,气象与气候,水文系统,结冰期、气温、冬季河流流量、寒潮对水文的影响
减少,气象与气候,水文系统,含沙量、径流量、水资源、湖泊面积、地下水位、水污染、洪涝灾害
凝结,气象与气候,水文系统,降水、水汽输送、水循环、地形雨形成
出现,气象与气候,水文系统,汛期、结冰期、洪涝、干旱、地面沉降、海水入侵、水污染、泥石流、滑坡
分为,气象与气候,水文系统,外流河与内流河、潜水与承压水、淡水湖与咸水湖、春汛与夏汛、降水补给与融水补给、地表径流与地下径流
分布,气象与气候,水文系统,外流河、内流河、潜水、承压水、淡水湖、咸水湖、水资源、水循环、水文灾害、水能资源
分布区,气象与气候,水文系统,外流河、内流河、冰川融水补给河流、潜水、承压水、洪涝灾害、干旱灾害
分配,气象与气候,水文系统,水资源时间分配、水资源空间分配、径流分配、降水季节分配
副热带,气象与气候,水文系统,副热带高压、降水、亚热带河流、汛期、无结冰期
加剧,气象与气候,水文系统,洪涝灾害、干旱灾害、水污染、地面沉降、海水入侵、水土流失、含沙量增大
包括,气象与气候,水文系统,水循环环节、水文特征、河流水补给类型、湖泊成因、地下水类型、水文灾害
北半球,气象与气候,水文系统,外流河、内流河、季风气候区河流、春汛、冰川融水、海平面上升
北方地区,气象与气候,水文系统,温带季风气候区河流、有结冰期、春汛夏汛、旱地农业、黄河、含沙量大、径流量较小
北极圈,气象与气候,水文系统,冰川融水、极地水文、结冰期、低温对河流的影响
区别,气象与气候,水文系统,外流河与内流河、潜水与承压水、淡水湖与咸水湖、亚热带与温带河流、春汛与夏汛
区域,气象与气候,水文系统,南方地区、北方地区、西北地区、东南沿海、青藏高原、黄土高原、长江中下游平原、华北平原
升温,气象与气候,水文系统,冰川融水、积雪融水、春汛、夏季流量增大、全球气候变暖、海平面上升
升高,气象与气候,水文系统,水位、地下水位、潜水水位、流量、气温、融水量、海平面
南北,气象与气候,水文系统,南水北调、南北半球水文差异、北方河流与南方河流、南涝北旱
南半球,气象与气候,水文系统,外流河、内流河、温带海洋性气候区河流、冰川融水、海平面上升
原因,气象与气候,水文系统,水文特征成因、洪涝成因、干旱成因、地面沉降成因、海水入侵成因、含沙量成因、结冰期成因
原理,气象与气候,水文系统,水循环原理、河湖相互补给原理、地下水与地表水补给原理、地形影响流速原理、植被保持水土原理、湖泊调蓄原理
变化,气象与气候,水文系统,流量变化、水位变化、含沙量变化、地下水位变化、湖泊面积变化、径流变化、结冰期变化、汛期变化
变暖,气象与气候,水文系统,全球气候、冰川融化、海平面上升、融水补给增加、水文灾害增多
可能,气象与气候,水文系统,洪涝、干旱、地面沉降、海水入侵、水污染、断流、泥石流、滑坡、河流水位上升
因素,气象与气候,水文系统,气候因素、地形因素、植被因素、人类活动因素、海陆因素、地质因素、土壤因素
国家,气象与气候,水文系统,中国河流、中国水资源、南水北调、中国湖泊、中国水文灾害、外流河、内流河
在于,气象与气候,水文系统,水文特征差异、外流河与内流河差异、潜水与承压水差异、淡水湖与咸水湖差异
地中海,气象与气候,水文系统,地中海气候区河流、冬雨型、汛期、无结冰期、径流量季节变化
地势,气象与气候,水文系统,落差、流速、水能资源、径流、地形雨、河流流向、流域面积
地区,气象与气候,水文系统,东南沿海、西北内陆、青藏高原、黄土高原、长江中下游、华北、东北、干旱、半干旱、湿润、半湿润
