关键字,分类,上级,下级
pH值小于7为酸性土壤,土壤与植被,pH值小于7为酸性土壤，大于7为碱性土壤，等于7为中性土壤,
pH值小于7为酸性土壤，大于7为碱性土壤，等于7为中性土壤,决策型,题目选项,pH值小于7为酸性土壤、大于7为碱性土壤、等于7为中性土壤
一方破坏会导致另一方退化,土壤与植被,植被与土壤相互制约，一方破坏会导致另一方退化,
一样,选项词,题目选项,
一致,决策型,题目选项,
三角洲,锚点词,土壤与植被,泥沙淤积、养分丰富
上界,锚点词,土壤与植被,林线
不利于,锚点词,土壤与植被,根系呼吸
不利于植物生长,土壤与植被,土壤通气性过强，会导致土壤水分快速蒸发，不利于植物生长,
不受影响,选项词,题目选项,
不变,选项词,题目选项,
不合理,锚点词,土壤与植被,次生盐碱化
不合理的人类活动（如滥砍滥伐）会破坏植被,土壤与植被,不合理的人类活动（如滥砍滥伐）会破坏植被，导致生态恶化,
不合理的人类活动（如滥砍滥伐）会破坏植被，导致生态恶化,决策型,题目选项,不合理的人类活动（如滥砍滥伐）会破坏植被、导致生态恶化
不同的植被群落适应不同的环境条件,土壤与植被,不同的植被群落适应不同的环境条件，具有明显的地域差异,
不同的植被群落适应不同的环境条件，具有明显的地域差异,决策型,题目选项,不同的植被群落适应不同的环境条件、具有明显的地域差异
不良,锚点词,土壤与植被,高温多雨淋溶强
不足,锚点词,土壤与植被,林线
与土壤质地密切相关,土壤与植被,土壤保水性是指土壤保持水分的能力，与土壤质地密切相关,
世界,锚点词,土壤与植被,肥沃
丘陵地区,锚点词,土壤与植被,红壤
东北,锚点词,土壤与植被,肥沃
东北平原,决策型,题目选项,
东部地区以森林植被为主,土壤与植被,东部地区以森林植被为主，从南到北依次为热带雨林、常绿阔叶林、落叶阔叶林、针叶林,
东部地区以森林植被为主，从南到北依次为热带雨林、常绿阔叶林、落叶阔叶林、针叶林,决策型,题目选项,东部地区以森林植被为主、从南到北依次为热带雨林、常绿阔叶林、落叶阔叶林、针叶林
两极,锚点词,土壤与植被,雨林→阔叶林→针叶林→苔原
严重,锚点词,土壤与植被,盐碱荒漠
严重破坏,锚点词,土壤与植被,水土流失加剧
中性,选项词,题目选项,
中性、熟化,选项词,题目选项,
中性、肥沃,选项词,题目选项,
中性土壤适合种植大多数农作物,土壤与植被,中性土壤适合种植大多数农作物，无需调节pH值,
中性土壤适合种植大多数农作物，无需调节pH值,决策型,题目选项,中性土壤适合种植大多数农作物、无需调节pH值
中部地区以草原植被为主,土壤与植被,中部地区以草原植被为主，西部内陆地区以荒漠植被为主,
中部地区以草原植被为主，西部内陆地区以荒漠植被为主,决策型,题目选项,中部地区以草原植被为主、西部内陆地区以荒漠植被为主
丰富,选项词,题目选项,
为动物提供栖息地,土壤与植被,为动物提供栖息地，维护生物多样性,
为动物提供栖息地，维护生物多样性,决策型,题目选项,为动物提供栖息地、维护生物多样性
为植物生长提供生长介质,土壤与植被,为植物生长提供生长介质和养分，是植物的“摇篮”,
为植物生长提供生长介质和养分,土壤与植被,为植物生长提供生长介质和养分，是植物的“摇篮”,
为植物生长提供生长介质和养分，是植物的“摇篮”,决策型,题目选项,为植物生长提供生长介质和养分、为植物生长提供生长介质、养分、是植物的“摇篮”
为生态环境保护,土壤与植被,为生态环境保护、土地利用规划提供科学依据,
为生态环境保护、土地利用规划提供科学依据,决策型,题目选项,为生态环境保护、土地利用规划提供科学依据
主要分布在温带季风气候区,土壤与植被,主要分布在温带季风气候区，夏季高温多雨，冬季寒冷干燥,
主要分布在温带季风气候区，夏季高温多雨，冬季寒冷干燥,决策型,题目选项,主要分布在温带季风气候区、夏季高温多雨、冬季寒冷干燥
主要来源于植物的枯枝落叶,土壤与植被,主要来源于植物的枯枝落叶、根系和动物的排泄物、尸体,
主要来源于植物的枯枝落叶、根系和动物的排泄物、尸体,决策型,题目选项,主要来源于植物的枯枝落叶、根系和动物的排泄物、根系、动物的排泄物、尸体
主要由降水,土壤与植被,水力侵蚀是最常见的土壤侵蚀类型，主要由降水和地表径流引起,
主要由降水和地表径流引起,土壤与植被,水力侵蚀是最常见的土壤侵蚀类型，主要由降水和地表径流引起,
乔木,选项词,题目选项,
亚热带,锚点词,土壤与植被,红壤
亚热带季风区,决策型,题目选项,
人工,锚点词,土壤与植被,水稻土
人类,锚点词,土壤与植被,水稻土
人类施加的有机肥（如羊粪,土壤与植被,人类施加的有机肥（如羊粪、秸秆）也是土壤有机质的重要来源,
人类施加的有机肥（如羊粪、秸秆）也是土壤有机质的重要来源,决策型,题目选项,人类施加的有机肥（如羊粪、秸秆）也是土壤有机质的重要来源、人类活动（如施肥）能增加土壤有机质。、人类活动（如施肥）能增加土壤有机质
人类施肥多,选项词,题目选项,
人类活动,人文地理,成土因素,耕作、施肥、灌溉、退耕还林、破坏植被、人类施肥多
仅能生长耐旱的荒漠植被,土壤与植被,荒漠土壤贫瘠、干旱，仅能生长耐旱的荒漠植被,
从南到北依次为热带雨林,土壤与植被,东部地区以森林植被为主，从南到北依次为热带雨林、常绿阔叶林、落叶阔叶林、针叶林,
从森林过渡为草甸,土壤与植被,同一座山地，海拔越高，植被类型越简单，从森林过渡为草甸、荒漠,
休耕,锚点词,土壤与植被,持续培肥
优先选择 native 植物,土壤与植被,优先选择 native 植物，提高植被成活率和稳定性,
优先选择 native 植物，提高植被成活率和稳定性,决策型,题目选项,优先选择 native 植物、提高植被成活率和稳定性、提高植被成活率、稳定性
优势,锚点词,土壤与植被,草本
会导致土壤水分快速蒸发,土壤与植被,土壤通气性过强，会导致土壤水分快速蒸发，不利于植物生长,
会导致土壤积水,土壤与植被,土壤保水性过强，会导致土壤积水，影响植物根系呼吸,
会导致根系缺氧腐烂,土壤与植被,土壤水分不足，植物会缺水枯萎；水分过多，会导致根系缺氧腐烂,
会导致植物根系缺氧,土壤与植被,土壤空气不足，会导致植物根系缺氧，生长缓慢甚至死亡,
但再生速度缓慢,土壤与植被,土壤资源是可再生资源，但再生速度缓慢,
但能固定沙丘,土壤与植被,虽然植被稀疏，但能固定沙丘，减少沙漠扩张,
但长期开垦会导致肥力下降,土壤与植被,黑土肥力高，但长期开垦会导致肥力下降，需加强保护,
低平,锚点词,土壤与植被,土层厚、植被好
低海拔地区多为常绿阔叶林,土壤与植被,低海拔地区多为常绿阔叶林，高海拔地区多为针叶林、高山草甸,
低海拔地区多为常绿阔叶林，高海拔地区多为针叶林、高山草甸,决策型,题目选项,低海拔地区多为常绿阔叶林、高海拔地区多为针叶林、高山草甸
低温,锚点词,土壤与植被,温带季风区
低温湿润区,决策型,题目选项,
低矮,锚点词,土壤与植被,寒冷、大风
作为观赏植物,土壤与植被,作为观赏植物，美化环境，带动旅游业发展,
作为观赏植物，美化环境，带动旅游业发展,决策型,题目选项,作为观赏植物、美化环境、带动旅游业发展
供植物吸收,土壤与植被,分解后能释放氮、磷、钾等养分，供植物吸收、土壤微生物能分解土壤有机质，释放养分，供植物吸收,
依次过渡为草原,土壤与植被,向内陆降水逐渐减少，依次过渡为草原、荒漠植被,
依靠,锚点词,土壤与植被,土壤盐碱化
侵蚀,锚点词,土壤与植被、侵蚀、滑塌,土层变薄、肥力下降
侵蚀、滑塌,决策型,题目选项,侵蚀、滑塌
促进土壤团粒结构形成,土壤与植被,改善土壤结构，促进土壤团粒结构形成,
促进生长,土壤与植被,植被蒸腾作用能促进植物吸收水分和养分，促进生长,
促进降水,土壤与植被,增加空气湿度，促进降水，调节区域气候,
保护,锚点词,土壤与植被,土地沙化
保护原生植被,土壤与植被,建立自然保护区，保护原生植被,
保护土壤能保障粮食安全,土壤与植被,土壤是农业生产的基础，保护土壤能保障粮食安全,
保护土壤能维护生态平衡,土壤与植被,土壤能调节生态环境，保护土壤能维护生态平衡,
保护生态环境,土壤与植被,保护生态环境，防治土壤侵蚀和土地荒漠化，维护生态平衡,
保护生态环境，防治土壤侵蚀和土地荒漠化，维护生态平衡,决策型,题目选项,保护生态环境、防治土壤侵蚀和土地荒漠化、防治土壤侵蚀、土地荒漠化、维护生态平衡
保持,锚点词,土壤与植被,减缓径流、增加下渗
保持水土,土壤与植被,植被功能、能涵养水源、保持水土，减少土壤侵蚀、涵养水源，保持水土，减少水土流失、保持水土，减少土壤侵蚀，防治土地荒漠化、保持水土、保肥,减轻侵蚀、增加下渗、减少径流、水土流失加剧
保持水土、保肥,决策型,题目选项,保持水土、保肥
保持水土，减少土壤侵蚀，防治土地荒漠化,决策型,题目选项,保持水土、减少土壤侵蚀、防治土地荒漠化
保水保肥能力弱,土壤与植被,保水保肥能力弱，易干旱、养分易流失,
保水保肥能力弱，易干旱、养分易流失,决策型,题目选项,保水保肥能力弱、易干旱、养分易流失
保水保肥能力强,土壤与植被,保水保肥能力强，养分不易流失,
保水保肥能力强，养分不易流失,决策型,题目选项,保水保肥能力强、养分不易流失
保水保肥能力较强,土壤与植被,保水保肥能力较强，能为作物持续提供养分,
保水保肥能力较强，能为作物持续提供养分,决策型,题目选项,保水保肥能力较强、能为作物持续提供养分
保水性,土壤与植被,能改善土壤结构，增加土壤透气性和保水性、改善土壤结构，增加土壤透气性和保水性,
保水性也是评价土壤肥力的指标,土壤与植被,土壤透气性、透水性、保水性也是评价土壤肥力的指标,
保水性好,土壤与植被,黏土：通气性差，保水性好,
保水性差,土壤与植被,砂土：通气性好，保水性差,
保水性适中,土壤与植被,草原植被要求土壤疏松、保水性适中，能适应半干旱环境,
保水性都适中,土壤与植被,壤土：通气性和保水性都适中，最适合农业生产,
保水能力越强,土壤与植被,土壤质地越黏重，保水能力越强，水分含量越高,
保肥,锚点词,土壤与植被、保持水土、保肥,壤土
保障人类生产生活需求,土壤与植被,提供木材、药材、饲料等产品，保障人类生产生活需求,
偏低,锚点词,土壤与植被,只施化肥
偏碱,锚点词,土壤与植被,呈碱性
偏酸,锚点词,土壤与植被,呈碱性
充足,锚点词,土壤与植被,土层厚、植被好
光照,选项词,题目选项,
光照充足,土壤与植被,光照充足，植被光合作用强，生长旺盛,
光照充足，植被光合作用强，生长旺盛,决策型,题目选项,光照充足、植被光合作用强、生长旺盛
光照过强,选项词,题目选项,
全年多雨,选项词,题目选项,
全年多雨区,选项词,题目选项,
全年常绿,土壤与植被,热带地区气温高、降水足，植被生长期长，全年常绿,
全年干旱,选项词,题目选项,
全年有叶,土壤与植被,叶片常绿，全年有叶，适应亚热带温暖湿润气候,
关键作用,锚点词,土壤与植被,减缓径流、增加下渗
关键因素,锚点词,土壤与植被,水分
其他,选项类型,土壤与植被,东北平原
具有明显的地域差异,土壤与植被,不同的植被群落适应不同的环境条件，具有明显的地域差异,
养分,土壤与植被,根系多为须根，能快速吸收水分和养分、根系发达，能深入地下吸收水分和养分，固定土壤能力强、植被蒸腾作用能促进植物吸收水分和养分，促进生长、为植物生长提供生长介质和养分，是植物的“摇篮”、能储存水分和养分，调节地表径流,
养分不易流失,土壤与植被,保水保肥能力强，养分不易流失,
养分丰富,土壤与植被,泥沙淤积、养分丰富,
养分保持,选项词,题目选项,
养分易流失,土壤与植被,保水保肥能力弱，易干旱、养分易流失,
养分流失越明显,土壤与植被,降水越多，土壤的淋溶作用越强，养分流失越明显,
内蒙古高原,锚点词,土壤与植被,草本
内陆,锚点词,土壤与植被,森林→草原→荒漠
农田,选项词,题目选项,
农耕,锚点词,土壤与植被,矿物养分丰富
冠层厚,土壤与植被,冠层厚、枯枝落叶多,
冠层厚、枯枝落叶多,决策型,题目选项,冠层厚、枯枝落叶多
冬季寒冷干燥,土壤与植被,主要分布在温带季风气候区，夏季高温多雨，冬季寒冷干燥,
冬季落叶,土壤与植被,冬季落叶，减少水分和热量消耗，适应寒冷冬季,
冬季落叶，减少水分和热量消耗，适应寒冷冬季,决策型,题目选项,冬季落叶、减少水分和热量消耗、减少水分、热量消耗、适应寒冷冬季
冰沼土,选项词,题目选项,
冰雪,锚点词,土壤与植被,绿洲
冲积土,决策型,题目选项,
冲积平原,锚点词,土壤与植被,冲积土
决定土壤的矿物质成分,土壤与植被,成土母质是土壤形成的物质基础，决定土壤的矿物质成分,
冻土,选项词,题目选项,
冻土发育,选项词,题目选项,
