关键字,分类,上级,下级
12:00,决策型,题目选项,nan
14:00,决策型,题目选项,nan
14℃,决策型,题目选项,nan
16:00,决策型,题目选项,nan
26℃,决策型,题目选项,nan
4-9月,决策型,题目选项,nan
6-8月,决策型,题目选项,nan
7-8月,决策型,题目选项,nan
8℃,决策型,题目选项,nan
A山地,决策型,题目选项,nan
B山地,决策型,题目选项,nan
一样多,决策型,题目选项,nan
一样强,决策型,题目选项,nan
一样高,决策型,题目选项,nan
一般,气象与气候,气候系统,14:00
上升,气象与气候,气候系统,全球降水普遍减少、气温升高、非洲北部、更多、降水丰富、海拔较低的沿海平原
下列,气象与气候,气候系统,温带海洋性气候、我国南方地区的降水主要受夏季风影响、亚马孙平原、全球降水普遍减少、欧洲西部、海南岛、热带雨林地区、夏季风强盛的年份、非洲北部、燃烧煤炭，石油等化石燃料、非洲撒哈拉沙漠、北极圈附近、中纬度大陆西岸、南美洲东南部、青藏高原、夏季、我国季风气候的形成主要与海陆热力性质差异有关、我国北方地区冬季寒冷干燥主要受西北风影响、热带沙漠气候、温带海洋性气候全年温和湿润、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原、从山麓到山顶，降水先增多后减少、我国西北地区的干旱主要是因为远离海洋，降水稀少、温带海洋性气候的形成主要受西风带和洋流影响、仙人掌、我国南方地区出现洪涝灾害、温带大陆性气候的冬冷夏热，年温差大、全年寒冷，植被以苔原为主、油橄榄
下沉,气象与气候,气候系统,热带沙漠气候、非洲撒哈拉沙漠
下降,气象与气候,气候系统,8℃、寒冷干燥、冷锋
不利于,锚点词,气候要素,较大
不同,气象与气候,气候系统,热带沙漠气候、亚热带季风气候、温带季风气候
不确定,决策型,题目选项,nan
不结冰,决策型,题目选项,nan
不足,气象与气候,气候系统,南美洲东南部、降雪、热带沙漠气候、仙人掌
不适合发展农业生产,决策型,题目选项,nan
与内陆地区一样大,决策型,题目选项,nan
且瓜果甜度高,气象与气候,,
世界,气象与气候,气候系统,我国季风气候的形成主要与海陆热力性质差异有关、海南岛
东北,锚点词,气候要素,全年炎热干燥
东南,气象与气候,气候系统,更多、全年炎热干燥
东南风,锚点词,气候要素,从陆地吹向海洋
东西,锚点词,气候要素,更多
东部沿海地区,决策型,题目选项,nan
两极,锚点词,气候要素,南北纬30°附近
两极地区,决策型,题目选项,nan
两者,气象与气候,气候系统,亚热带季风气候、温带海洋性气候、热带沙漠气候、非洲撒哈拉沙漠、热带季风气候、温带季风气候
中下游,锚点词,气候要素,不结冰
中纬度,气象与气候,气候系统,中纬度大陆西岸、温带海洋性气候、降水丰富、降水集中在夏季、冬冷夏热，降水稀少
中纬度大陆东岸,决策型,题目选项,nan
中纬度大陆内部,决策型,题目选项,nan
中纬度大陆西岸,决策型,题目选项,nan
中部地区,决策型,题目选项,nan
中雨,锚点词,气候要素,暴雨
丰富,气象与气候,气候系统,热带草原、热带季风气候、我国南方地区的降水主要受夏季风影响、亚马孙平原
为主,气象与气候,气候系统,旱地农业、北极圈附近、仙人掌、热带雨林气候、热带沙漠气候、全年寒冷，植被以苔原为主、水稻、温带季风气候
事件,锚点词,气候要素,某地区冬季出现极端寒潮，气温骤降
二氧化碳,气象与气候,气候系统,燃烧煤炭，石油等化石燃料、全球降水普遍减少
云层,锚点词,气候要素,较强
云量,锚点词,气候要素,较强
亚寒带针叶林气候,决策型,题目选项,nan
亚欧大陆,气象与气候,气候系统,我国季风气候的形成主要与海陆热力性质差异有关、没有
亚洲,锚点词,气候要素,热带季风气候
亚洲东部,决策型,题目选项,nan
亚热带,气象与气候,气候系统,亚热带季风气候、温带海洋性气候、温带落叶阔叶林、不结冰、水稻、油橄榄
亚热带季风气候,决策型,题目选项,nan
亚马孙平原,决策型,题目选项,nan
交替,气象与气候,气候系统,炎热干燥、夏季、地中海气候
产生,锚点词,气候要素,我国南方地区出现洪涝灾害
人口密度,锚点词,气候要素,较大
人类,气象与气候,气候系统,全球降水普遍减少、燃烧煤炭，石油等化石燃料、我国南方地区出现洪涝灾害、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原、较大
从山麓到山顶,气象与气候,,
从山麓到山顶，气温逐渐升高,决策型,题目选项,nan
从山麓到山顶，降水先增多后减少,决策型,题目选项,nan
从海洋吹向陆地,决策型,题目选项,nan
从陆地吹向海洋,决策型,题目选项,nan
从高纬度吹向低纬度,决策型,题目选项,nan
仙人掌,决策型,题目选项,nan
位于,气象与气候,气候系统,对流雨、亚热带季风气候、甘蔗、温带海洋性气候、热带草原、热带雨林气候、气温升高、地中海气候、内陆地区、降水集中在夏季、较小、南北纬30°-60°之间、温带地区、降雪、陆地、夏季、我国季风气候的形成主要与海陆热力性质差异有关、冰原气候、热带沙漠气候、温带季风气候、全年炎热干燥、西北内陆地区、降水丰富、没有、热带季风气候、南北纬30°附近、更强
位置,气象与气候,气候系统,陆地、青藏高原、温带海洋性气候、西北内陆地区、内陆地区、降水丰富、温带海洋性气候全年温和湿润、较小、温带季风气候
低于,气象与气候,气候系统,冰原气候、亚热带季风气候
低压,锚点词,气候要素,从陆地吹向海洋
低气压,气象与气候,气候系统,非洲北部、南北纬30°附近、夏季
低温,锚点词,气候要素,海南岛
低纬度,锚点词,气候要素,更强
体现,气象与气候,气候系统,寒冷干燥、亚热带季风气候、甘蔗、更高、更多、温带海洋性气候全年温和湿润、较小
作用,气象与气候,气候系统,非洲撒哈拉沙漠、亚热带季风气候、热带雨林地区、A山地
使该,锚点词,气候要素,中纬度大陆西岸
信风带,气象与气候,气候系统,全年炎热干燥、南美洲东南部、夏季、热带沙漠气候、非洲撒哈拉沙漠
充沛,锚点词,气候要素,甘蔗
充足,气象与气候,气候系统,降水丰富、非洲北部、甘蔗
光照,锚点词,气候要素,甘蔗
全年寒冷,气象与气候,,
全年寒冷，植被以苔原为主,决策型,题目选项,nan
全年温和湿润,决策型,题目选项,nan
全年炎热干燥,决策型,题目选项,nan
全年酷寒，无植被生长,决策型,题目选项,nan
全年降水均匀,决策型,题目选项,nan
全年高温多雨,决策型,题目选项,nan
全球,气象与气候,气候系统,全球降水普遍减少、气温升高、燃烧煤炭，石油等化石燃料、我国南方地区出现洪涝灾害、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原
全球气温普遍下降,决策型,题目选项,nan
全球降水普遍减少,决策型,题目选项,nan
关系,气象与气候,气候系统,8℃、温带季风气候
关联,锚点词,气候要素,温带季风气候
具体,锚点词,气候要素,热带雨林气候
具有,气象与气候,气候系统,温带海洋性气候、南北纬30°附近、热带沙漠气候
养分,锚点词,气候要素,夏季
内陆,锚点词,气候要素,我国北方地区冬季寒冷干燥主要受西北风影响
内陆地区,决策型,气候系统,西北内陆地区、内陆地区、热带沙漠气候、较小、冬冷夏热，降水稀少
农业,气象与气候,气候系统,甘蔗、旱地农业、适合种植耐旱作物，且瓜果甜度高、适合种植耐旱作物，冬季可灌溉种植
农作物,锚点词,气候要素,水稻
冬冷夏热,气象与气候,,
冬冷夏热，降水稀少,决策型,题目选项,nan
冬季,决策型,题目选项,nan
冬季可灌溉种植,气象与气候,,
冰原,气象与气候,气候系统,全年寒冷，植被以苔原为主、冰原气候
冰原气候,决策型,题目选项,nan
冰川,气象与气候,气候系统,海拔较低的沿海平原、气温升高、全球降水普遍减少
冰雪,气象与气候,气候系统,全年寒冷，植被以苔原为主、冰原气候
决定,锚点词,气候要素,温带海洋性气候全年温和湿润
冷却,锚点词,气候要素,降水丰富
冷夏,气象与气候,气候系统,温带大陆性气候的冬冷夏热，年温差大、冬冷夏热，降水稀少、热带沙漠气候、温带海洋性气候
冷空气,气象与气候,气候系统,暖锋、更多、亚热带季风气候
冷锋,锚点词,气候要素,冷锋
准静止锋,决策型,题目选项,nan
凋零,锚点词,气候要素,夏季
减少,气象与气候,气候系统,气温升高、温带落叶阔叶林、夏季、从山麓到山顶，降水先增多后减少、油橄榄
减少汽车尾气排放,决策型,题目选项,nan
减湿,锚点词,气候要素,降水丰富
凝结,气象与气候,气候系统,降水丰富、更多
凝结核,锚点词,气候要素,降水丰富
出现,气象与气候,气候系统,14:00、对流雨、夏季风强盛的年份、夏季、暖锋、冷锋
分为,气象与气候,气候系统,全年炎热干燥、暴雨、冷锋、热带雨林气候、冰原气候
分布,气象与气候,气候系统,亚热带季风气候、温带海洋性气候、季风气候、热带草原、热带雨林气候、欧洲西部、海南岛、南北纬30°附近、地中海气候、非洲北部、4-9月、内陆地区、冬冷夏热，降水稀少、南北纬30°-60°之间、北极圈附近、中纬度大陆西岸、陆地、平原、冰原气候、热带沙漠气候、温带季风气候、全年炎热干燥、没有、热带季风气候、全年寒冷，植被以苔原为主、更强
分布区,气象与气候,气候系统,非洲北部、欧洲西部、南美洲东南部
分旱雨,锚点词,气候要素,热带季风气候
分配,气象与气候,气候系统,热带雨林气候、地中海气候
刚果盆地,决策型,题目选项,nan
判断,锚点词,气候要素,热带雨林气候
到达,锚点词,气候要素,较强
前者,锚点词,气候要素,亚热带季风气候
副热带,气象与气候,气候系统,地中海气候、南美洲东南部、炎热干燥、热带沙漠气候、非洲撒哈拉沙漠、南北纬30°附近
加剧,气象与气候,气候系统,燃烧煤炭，石油等化石燃料、我国西北地区的干旱主要是因为远离海洋，降水稀少
包括,气象与气候,气候系统,热带沙漠气候、北极圈附近
北半球,气象与气候,气候系统,炎热干燥、更高、温带海洋性气候的形成主要受西风带和洋流影响
北坡,锚点词,气候要素,更高
北大西洋,锚点词,气候要素,温带海洋性气候的形成主要受西风带和洋流影响
北方地区,气象与气候,气候系统,旱地农业、锋面雨、我国北方地区冬季寒冷干燥主要受西北风影响、4-9月
北极冰川面积缩小,决策型,题目选项,nan
北极圈,气象与气候,气候系统,温带海洋性气候、全年寒冷，植被以苔原为主、冰原气候
北极圈附近,决策型,题目选项,nan
北美洲,锚点词,气候要素,欧洲西部
区别,气象与气候,气候系统,热带季风气候、亚热带季风气候、温带海洋性气候
区域,气象与气候,气候系统,旱地农业、冬冷夏热，降水稀少、水稻、季风气候
升温,气象与气候,气候系统,从陆地吹向海洋、季风气候、较小
升高,气象与气候,气候系统,寒冷干燥、温带落叶阔叶林、燃烧煤炭，石油等化石燃料、暖锋、冷锋、我国南方地区出现洪涝灾害、8℃、温带海洋性气候的形成主要受西风带和洋流影响
华北平原,决策型,题目选项,nan
南北,气象与气候,气候系统,热带草原、更多
南北纬0°-30°之间,决策型,题目选项,nan
南北纬30°-60°之间,决策型,题目选项,nan
南北纬30°附近,决策型,题目选项,nan
南北纬60°-90°之间,决策型,题目选项,nan
南北纬60°附近,决策型,题目选项,nan
南半球,气象与气候,气候系统,更高、温带海洋性气候的形成主要受西风带和洋流影响
南坡,锚点词,气候要素,更高
南极,锚点词,气候要素,全年寒冷，植被以苔原为主
南极大陆,决策型,题目选项,nan
南美洲,锚点词,气候要素,欧洲西部
南美洲东南部,决策型,题目选项,nan
南美洲亚马孙平原,决策型,题目选项,nan
原因,气象与气候,气候系统,气温升高、燃烧煤炭，石油等化石燃料、从陆地吹向海洋、季风气候、冷锋、我国季风气候的形成主要与海陆热力性质差异有关
原理,气象与气候,气候系统,从陆地吹向海洋、更多、A山地
反射,锚点词,气候要素,较强
反映,锚点词,气候要素,温带海洋性气候全年温和湿润
发生,锚点词,气候要素,对流雨
发生变化,锚点词,气候要素,温带落叶阔叶林
变化,气象与气候,气候系统,14:00、平原、温带落叶阔叶林、更高、炎热干燥、从山麓到山顶，降水先增多后减少、温带地区
变暖,气象与气候,气候系统,气温升高、全球降水普遍减少、燃烧煤炭，石油等化石燃料、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原
可能,气象与气候,气候系统,14:00、寒冷干燥、夏季风强盛的年份、平原、温带落叶阔叶林、西北内陆地区、我国南方地区出现洪涝灾害、内陆地区、温带季风气候
台风,锚点词,气候要素,对流雨
叶片,锚点词,气候要素,油橄榄
后者,锚点词,气候要素,亚热带季风气候
后退,锚点词,气候要素,暖锋
含量,锚点词,气候要素,降雪
吸收,锚点词,气候要素,燃烧煤炭，石油等化石燃料
呈现,锚点词,气候要素,更强
因素,气象与气候,气候系统,热带雨林地区、陆地、青藏高原、内陆地区、降水丰富、热带沙漠气候、温带海洋性气候全年温和湿润、温带季风气候
国家,气象与气候,气候系统,我国季风气候的形成主要与海陆热力性质差异有关、海南岛
在于,气象与气候,气候系统,热带季风气候、亚热带季风气候、温带海洋性气候
地中海,气象与气候,气候系统,亚热带季风气候、地中海气候、适合种植耐旱作物，冬季可灌溉种植、炎热干燥、没有、南北纬30°-60°之间、油橄榄
地中海气候,决策型,题目选项,nan
地势,气象与气候,气候系统,平原、冬冷夏热，降水稀少
