关键字,分类,上级,下级
河流,水文系统,,
径流量,水文特征,河流,
径流,水文特征,河流,
气候,自然因素,,
植被覆盖,植被因素,,植被
土壤性质,土壤因素,,
自然因素,因素类型,,
人类活动,活动类型,,
综合,修饰词,,
影响,动词,,
多种,修饰词,,
河流径流量,水文特征,河流,径流影响因素、降水、植被
径流影响因素,影响因素,河流径流量,降水、植被
降水,降水型,径流影响因素,
植被,植被型,径流影响因素,
矿产,矿产型,矿产资源,
矿产资源,资源类型,,
我国,地理单元,,
东部地区,地理区域,我国,
气候湿润,气候特征,,
热量,气候要素,,
充足,修饰词,,
植被广泛分布,植被特征,,
植被类型,分类概念,,
纬度地带性,地带性规律,,
明显,修饰词,,
呈现,动词,,
东部地区植被,植被系统,东部地区,东部植被类型、森林、草原
东部植被类型,植被分类,东部地区植被,森林、草原
森林,森林型,东部植被类型,
草原,草原型,东部植被类型,
荒漠,荒漠型,干旱区植被,
干旱区植被,植被系统,,
红壤,土壤类型,,红壤特点、酸性、红色
南方地区,地理区域,我国,
高温多雨,气候特征,,
气候条件,气候因素,,
发育,动词,,
有机质,土壤成分,,
含量,属性,,
较低,修饰词,,
主要,修饰词,,
分布,动词,,
红壤特点,土壤特征,红壤,酸性、红色
酸性,酸性型,红壤特点,
红色,红色型,红壤特点,
碱性,碱性型,碱性土壤特点,
碱性土壤特点,土壤特征,,
陆地,地理单元,,
生态系统,生态概念,,
主体,核心概念,,
重要,修饰词,,
生态功能,功能类型,,
环境保护,保护类型,,
意义,概念,,
重大,修饰词,,
森林生态功能,生态系统功能,森林,森林生态作用、涵养水源、保持水土
森林生态作用,生态作用,森林生态功能,涵养水源、保持水土
涵养水源,涵养水源型,森林生态作用,
保持水土,保持水土型,森林生态作用,
增加风沙,增加风沙型,负面环境影响,
负面环境影响,环境影响,,
温带地区,地理区域,,
降水较少,降水特征,,
独特,修饰词,,
畜牧业,产业类型,,
基地,区域类型,,
草原分布区,地理区域,草原,草原特征、半干旱、草本为主
草原特征,区域特征,草原分布区,半干旱、草本为主
半干旱,半干旱型,草原特征,
草本为主,草本为主型,草原特征,
森林茂密,森林茂密型,森林区特征,
森林区特征,区域特征,,
