关键字,分类,上级,下级
U型谷,决策型,题目选项,
U型谷谷底宽阔,地形与地貌,U型谷谷底宽阔、两侧陡峭,
U型谷谷底宽阔、两侧陡峭,决策型,题目选项,U型谷谷底宽阔、两侧陡峭
U形谷,地形地貌,冰川侵蚀,冰川作用、V形谷转化
V型谷,地形地貌,河流侵蚀,谷壁陡峭、流水下切
V型谷谷底狭窄,地形与地貌,V型谷谷底狭窄、深度大,
V型谷谷底狭窄、深度大,决策型,题目选项,V型谷谷底狭窄、深度大、谷底窄
三角洲,决策型,河口地形、题目选项,泥沙堆积、河流近海、三角洲（堆积）
三角洲形成于河流入海口,地形与地貌,冲积扇形成于河流山口，三角洲形成于河流入海口,
上下岩层硬度差异大（上部坚硬,地形与地貌,上下岩层硬度差异大（上部坚硬、下部松软）,
上下岩层硬度差异大（上部坚硬、下部松软）,决策型,题目选项,上下岩层硬度差异大（上部坚硬、下部松软）、瀑布需要陡崖和差异侵蚀，下部松软岩层被侵蚀快，形成陡坎。、下部松软岩层被侵蚀快
上游以侵蚀作用为主,地形与地貌,上游以侵蚀作用为主，多峡谷,
上游以侵蚀作用为主，多峡谷,决策型,题目选项,上游以侵蚀作用为主、多峡谷
上部岩石较坚硬,地形与地貌,上部岩石较坚硬，下部岩石较松软,
上部岩石较坚硬，下部岩石较松软,决策型,题目选项,上部岩石较坚硬、下部岩石较松软
下游以堆积作用为主,地形与地貌,下游以堆积作用为主，多平原,
下游以堆积作用为主，多平原,决策型,题目选项,下游以堆积作用为主、多平原、下游堆积强
下部岩石较松软,地形与地貌,上部岩石较坚硬，下部岩石较松软,
下部松软）,地形与地貌,上下岩层硬度差异大（上部坚硬、下部松软）,
不易被外力侵蚀,决策型,题目选项,抗侵蚀能力强
丘陵,地形地貌,地形基本类型,海拔200-500米、起伏和缓、坡度小、江南丘陵
东北平原,地形地貌,平原,黑土肥沃、面积广阔、冷湿环境、黑土、腐殖质
东南丘陵,地形地貌,丘陵,江南地区、风化地貌
东欧平原,地形地貌,平原,欧洲、冰蚀冰碛
东非大裂谷,决策型,裂谷、题目选项,非洲板块、典型张裂、东非大裂谷（板块张裂）与板块运动相关、东非大裂谷（板块张裂）
两侧陡峭,地形与地貌,U型谷谷底宽阔、两侧陡峭,
两广丘陵,地形地貌,丘陵,南部地区、喀斯特发育
中间低,地形与地貌,中间低、四周高,
中间低、四周高,决策型,题目选项,中间低、四周高、盆地四周高中间低
丹霞地貌,决策型,外力地貌、题目选项,红色砂岩、垂直节理、流水侵蚀、峰林和丹霞地貌景观独特、丹霞地貌景观独特
丹霞地貌多分布在湿润地区,地形与地貌,雅丹地貌多分布在干旱地区，丹霞地貌多分布在湿润地区,
丹霞地貌由流水作用形成,地形与地貌,雅丹地貌由风力作用形成，丹霞地貌由流水作用形成,
主要分布在黄土高原,决策型,题目选项,黄土高原黄土地貌是风积黄土
云贵高原,决策型,高原、题目选项,崎岖不平、喀斯特地貌、石灰岩分布、流水溶蚀、溶洞
亚丁湾,地形地貌,张裂地带,沉积盆地、板块张裂
亚欧板块,地形地貌,板块运动,喜马拉雅、挤压边界
亚热带季风气候,地形地貌,气候类型,雨热同期、长江流域
亚马孙平原,地形地貌,平原,世界最大平原、河流冲积
以侵蚀为主,地形与地貌,凹岸流速快，以侵蚀为主,
以堆积为主,地形与地貌,凸岸流速慢，以堆积为主,
伸展应力,地形地貌,板块作用,板块张裂、拉张作用
侵蚀作用,地形地貌,外力作用,流水侵蚀、风力侵蚀、冰川侵蚀、海水侵蚀
侵蚀作用越强,地形与地貌,海拔越高，侵蚀作用越强,
侵蚀作用较弱,地形与地貌,地壳相对稳定，侵蚀作用较弱,
侵蚀力强,地形与地貌,河流流速快、侵蚀力强,
侵蚀力越强,地形与地貌,流速越快，侵蚀力越强,
侵蚀强,地形与地貌,山地地区河流流速快，侵蚀强,
便于耕作,地形与地貌,地势平坦，便于耕作,
修建梯田,地形与地貌,修建梯田，改变地表坡度,
修建梯田，改变地表坡度,决策型,题目选项,修建梯田、改变地表坡度
偏北风,地形地貌,风力特征,黄土搬运、蒙古高原
充足的水分,地形与地貌,需要石灰岩和充足的水分,
入海口地势平坦,地形与地貌,入海口地势平坦、流速缓慢,
入海口地势平坦、流速缓慢,决策型,题目选项,入海口地势平坦、流速缓慢
全年降水,地形地貌,气候特征,降水总量、分布均衡
内力作用,地形与地貌,地质作用、内力作用和外力作用共同推动地貌演化,地壳运动、岩浆活动、变质作用
内力作用使地表高低起伏,决策型,题目选项,内力作用塑造基本格局，使地表起伏；外力作用削高填低，使地表趋于平坦。两者共同作用，内力主导大尺度形态。、使地表起伏、外力作用削高填低
内力作用和外力作用共同推动地貌演化,决策型,题目选项,内力作用、外力作用共同推动地貌演化、地貌不断演化，由内外力共同作用，但速度有快有慢。、由内外力共同作用
内力作用塑造地表基本形态,决策型,题目选项,内力作用形成宏观起伏
内力地貌,地形地貌,地貌,板块运动、地壳运动形成
