canonical,synonyms
除了,除了;除外;除去;撇开;排除;没有;无关;不包括
山脉,山脉;山系;山地;山峰;群山;山脊
高原,高原;台地;高地;高原地带
平原,平原;广阔平地;阔地;冲积平原;盆地平原
盆地,盆地;洼地;沉降盆地
丘陵,丘陵;山丘;低山丘陵
河流,河流;江河;河川;江;溪流;河道
湖泊,湖泊;湖;淡水湖;咸水湖;湖群
海洋,海洋;洋;海;海域
岛屿,岛屿;岛;海岛;小岛;列岛;群岛
半岛,半岛;半岛地区
港口,港口;港湾;码头;港区
海峡,海峡;峡湾
海湾,海湾;湾地;湾区
海岸,海岸;海岸线;沿海地区
海拔,海拔;高度;高程;标高
坡度,坡度;坡面斜率;坡向
地势,地势;地形;地貌;地形起伏
地形,地形;地貌;地势类型
气候,气候;气候类型;气候带;气候区
气温,气温;温度;平均气温;日均温
降水,降水;降雨;雨量;降雨量;年降水量
湿度,湿度;相对湿度
干旱,干旱;干燥;旱情
季风,季风;季风性;风季
台风,台风;热带气旋;强热带风暴
热带,热带;热带地区;热带气候
温带,温带;温带地区;温带气候
寒带,寒带;寒冷带;极地气候
植被,植被;植被覆盖;植被带
森林,森林;林地;森林覆盖区;原始森林
草原,草原;草地;牧场;草甸;草场
荒漠,荒漠;沙漠;荒漠化
绿洲,绿洲;沙漠绿洲
土壤,土壤;土壤类型;土壤肥力
资源,资源;自然资源;资源分布
水资源,水资源;水量;径流量;水源
矿产,矿产;矿产资源;矿物
煤炭,煤炭;煤;煤矿
石油,石油;原油;油气;油田
天然气,天然气;气田;天然气资源
金属矿,金属矿;有色金属;金属矿产;铁矿;铜矿
耕地,耕地;农田;耕耘地;耕作地
灌溉,灌溉;引水灌溉;灌溉设施
水利,水利;水利工程;水库;大坝
水电,水电;水力发电;水电站
城市,城市;都市;市区;城镇;大城市
乡村,乡村;农村;村庄;乡镇
人口,人口;人口数;人口总量
人口密度,人口密度;人口稠密;人口集中度
人口分布,人口分布;人口分布格局;分布模式
城市化,城市化;城镇化;城市化进程
迁移,迁移;人口迁移;人口流动;移民
经济,经济;经济发展;经济结构
GDP,GDP;国内生产总值;经济总量
农业,农业;种植业;农作物;农田耕作
工业,工业;制造业;重工业;轻工业
服务业,服务业;第三产业;服务行业
交通,交通;交通运输;公路;铁路;航空;航运
港湾,港湾;港口;港区
河口,河口;入海口;河口三角洲;河口湾
三角洲,三角洲;河口三角洲;delta;冲积三角洲
源头,源头;河源;发源地
上游,上游;源头地区
中游,中游;河流中段
下游,下游;河口段;河下游
冰川,冰川;冰帽;冰川体
冰帽,冰帽;冰盖
火山,火山;火山喷发;火山口
地震,地震;震动;震源;震级
断层,断层;地壳断裂;裂隙
板块,板块;板块运动;构造板块
海沟,海沟;海底沟壑
海岭,海岭;洋中脊;中洋脊
沉积,沉积;沉积作用;沉积物
风化,风化;化学风化;物理风化
侵蚀,侵蚀;侵蚀作用;冲刷;剥蚀
淤积,淤积;淤泥堆积;冲积
冲积平原,冲积平原;冲积层;河漫滩
喀斯特,喀斯特;喀斯特地貌;溶岩喀斯特;溶洞
溶洞,溶洞;石窟;钟乳洞;石灰岩溶洞
等高线,等高线;等高距;等高线图
比例尺,比例尺;地图比例尺
经度,经度;东西位置;东经;西经
纬度,纬度;南北位置;北纬;南纬
赤道,赤道;赤道带;赤道附近
时区,时区;时差;本初子午线;国际日期变更线
地图,地图;地形图;地理图;世界地图
日照,日照;光照;日照时数
季节,季节;四季;春季;夏季;秋季;冬季
潮汐,潮汐;潮汐现象;潮汐能
海啸,海啸;海浪灾害;海浪
洋流,洋流;海流;暖流;寒流
厄尔尼诺,厄尔尼诺;ENSO;拉尼娜相反现象
生态,生态;生态系统;生态环境;生态平衡
生物多样性,生物多样性;物种多样性
保护区,保护区;自然保护区;国家公园;自然保护区
可持续发展,可持续发展;可持续利用;可持续
大气保温作用,大气保温作用;温室保温作用;保温效应
大气削弱作用,大气削弱作用;大气反射作用;大气散射作用
大气逆辐射,大气逆辐射;逆辐射;长波逆辐射
热力环流,热力环流;局地环流;热力驱动环流
城市热岛环流,城市热岛环流;热岛环流;城市局地环流
海陆风,海陆风;海风陆风;海陆风环流
山谷风,山谷风;山风谷风;山地环流
气压带,气压带;高低压带;气压分布带
风带,风带;行星风带;盛行风带
低气压,低气压;低压中心;低压系统
高气压,高气压;高压中心;高压系统
冷锋,冷锋;冷锋过境;冷气团锋面
暖锋,暖锋;暖锋过境;暖气团锋面
锋面,锋面;天气锋;锋区
气旋,气旋;低压气旋;气旋系统
反气旋,反气旋;高压反气旋;反气旋系统
海陆间循环,海陆间循环;海陆水循环;海陆水分循环
冲积扇,冲积扇;扇形堆积;洪积扇
喀斯特作用,喀斯特作用;岩溶作用;喀斯特溶蚀
风力作用,风力作用;风成作用;风力地貌作用
冰川作用,冰川作用;冰川地貌作用;冰川营力作用
内力作用,内力作用;内营力作用;地球内力
外力作用,外力作用;外营力作用;太阳外力
背斜,背斜;褶皱背斜;拱起岩层
向斜,向斜;褶皱向斜;槽状岩层
岩浆活动,岩浆活动;岩浆作用;火成活动
搬运作用,搬运作用;物质搬运;外力搬运
堆积作用,堆积作用;沉积堆积;外力堆积
固结成岩,固结成岩;压实胶结;成岩作用
变质作用,变质作用;岩石变质;变质成岩
岩石圈物质循环,岩石圈物质循环;岩石循环;岩石圈循环
纬度地带分异,纬度地带分异;纬向地带性;纬度分异
干湿度地带分异,干湿度地带分异;经向地带性;干湿分异
垂直地域分异,垂直地域分异;山地垂直分异;垂直地带性
温室效应,温室效应;温室增温;增温效应
极端天气,极端天气;极端气候事件;极端气象事件
水文特征,水文特征;水文特点;河流水文特性
流量,流量;来水量;过水量
流速,流速;水流速度;流动速度
含沙量,含沙量;泥沙含量;输沙量
汛期,汛期;丰水期;洪水期
结冰期,结冰期;封冻期;冰封期
冰雪融水,冰雪融水;积雪融水;融雪径流
调蓄作用,调蓄作用;调节作用;削峰补枯
水位,水位;水面高程;河流水位
蒸发量,蒸发量;蒸发总量;蒸发强度
流域,流域;集水区;汇水区
分水岭,分水岭;水系分界线;流域分界线
季节性断流,季节性断流;间歇断流;枯季断流
洪涝灾害,洪涝灾害;洪水灾害;内涝灾害
干旱灾害,干旱灾害;旱灾;气象干旱灾害
外流河,外流河;入海河流;外泄河流
内流河,内流河;内陆河;不入海河流
地表径流,地表径流;地表水流;地表流水
地下径流,地下径流;地下水流;潜流
淋溶作用,淋溶作用;淋洗作用;淋滤作用
盐碱化,盐碱化;土壤盐渍化;次生盐渍化
有机质,有机质;土壤有机质;腐殖质
成土母质,成土母质;土壤母质;母岩风化物
常绿阔叶林,常绿阔叶林;亚热带常绿阔叶林;常绿林
落叶阔叶林,落叶阔叶林;温带落叶阔叶林;落叶林
冻土,冻土;永冻土;多年冻土
荒漠土,荒漠土;沙漠土;荒漠化土壤
紫色土,紫色土;紫土;紫色岩土
冲积土,冲积土;河流冲积土;河漫滩土
壤土,壤土;壤性土;中壤土
水土流失,水土流失;土壤侵蚀;土壤流失
涵养水源,涵养水源;水源涵养;蓄水保水
梯田,梯田;阶梯农田;坡地梯田
垂直分异,垂直分异;垂直地带分异;海拔垂直分异
地貌成因,地貌成因;地形成因;成因机制
流水侵蚀,流水侵蚀;河流侵蚀;水流侵蚀
流水堆积,流水堆积;冲积作用;水流堆积
风力侵蚀,风力侵蚀;风蚀作用;风蚀
风力堆积,风力堆积;风积作用;风成堆积
冰川侵蚀,冰川侵蚀;冰蚀作用;冰川刻蚀
阶梯地势,阶梯地势;地势阶梯;三级阶梯地势
裂谷,裂谷;断陷谷;地堑谷
角峰,角峰;冰蚀角峰;金字塔峰
U型谷,U型谷;槽谷;冰川槽谷
V型谷,V型谷;河谷;V形谷
风蚀蘑菇,风蚀蘑菇;蘑菇石;风蚀石柱
石笋,石笋;钟乳石笋;洞穴石笋
石柱,石柱;钟乳石柱;洞穴石柱
板块碰撞,板块碰撞;板块挤压;碰撞造山
板块张裂,板块张裂;板块拉张;离散边界张裂
褶皱构造,褶皱构造;褶皱;褶皱地质构造
断层构造,断层构造;断裂构造;断层地质构造
人口自然增长率,人口自然增长率;自然增长率;自然增长速度
出生率,出生率;生育率;粗出生率
死亡率,死亡率;粗死亡率;死亡水平
人口老龄化,人口老龄化;老龄化;老龄化社会
抚养比,抚养比;人口抚养比;老年抚养比
城市中心区,城市中心区;中心城区;城市核心区
功能区,功能区;功能分区;城市功能分区
商业区,商业区;商业中心区;中央商务区
工业区,工业区;工业园区;制造业区
住宅区,住宅区;居住区;居民区
地租,地租;土地租金;土地价格
逆城市化,逆城市化;反城市化;城市人口回流
再城市化,再城市化;二次城市化;城市复兴
过度城市化,过度城市化;虚假城市化;城市化超前
季风水田农业,季风水田农业;水田农业;水稻种植业
商品谷物农业,商品谷物农业;机械化谷物农业;大规模谷物农业
乳畜业,乳畜业;奶畜业;乳品畜牧业
大牧场放牧业,大牧场放牧业;牧场放牧业;规模放牧业
原料导向型工业,原料导向型工业;原料型工业;近原料工业
市场导向型工业,市场导向型工业;市场型工业;近市场工业
动力导向型工业,动力导向型工业;能源导向型工业;近能源工业
劳动力导向型工业,劳动力导向型工业;劳动密集型工业;廉价劳动力工业
技术导向型工业,技术导向型工业;技术密集型工业;高新技术工业
工业集聚,工业集聚;产业集聚;企业集聚
工业分散,工业分散;产业分散;生产分散
环境承载力,环境承载力;生态承载力;资源环境承载力
人口合理容量,人口合理容量;适度人口容量;合理人口规模
