关键字,分类,上级,下级
丹霞地貌,特殊地貌,地貌,丹霞特征、红层、流水
红色砂砾岩,岩石类型,岩石,丹霞特征
红层,红层型,岩石类型,
流水侵蚀,外力作用,流水作用,丹霞特征
风化作用,外力作用,地质作用,丹霞特征
奇特,修饰词,,
山峰,地形,地貌,
峭壁,地形,地貌,
形成条件,概念,地质过程,
丹霞特征,地貌特征,地貌,红层、流水
流水,流水型,外力作用,
火山,火山型,内力作用,
我国,国家,地理区域,东部地区、西部地区
东部地区,区域,地理分区,东部特征、平原、丘陵
地势,地貌,地形特征,地势特征
低平,地势特征,地势,东部特征
河网密布,水文特征,河流,东部特征
冲积平原,平原类型,平原,东部特征
广阔,修饰词,,
农业生产,产业,农业,
基地,概念,,
地形特征,特征,地形,
东部特征,地理特征,地理,平原、丘陵
平原,平原型,地形,
丘陵,丘陵型,地形,
高原,高原型,地形,
山地,地形实体,地形,垂直地带性、垂直特征
垂直地带性,地理规律,地理,垂直特征、海拔、纬度
海拔,海拔型,地形参数,
升高,空间关系,,
温度,气候要素,气候,
降水,降水型,气候要素,
植被,自然要素,生态,
自然要素,概念,自然地理,
规律性,修饰词,,
变化,动词,,
影响,动词,,
因素,概念,,
垂直特征,地理特征,地理,海拔、纬度
纬度,纬度型,地理位置,
冰川地貌,特殊地貌,地貌,冰川特征、角峰、U型谷
高纬度,地理位置,纬度,冰川特征
高海拔,地形特征,海拔,冰川特征
冰川,自然营力,外力作用,冰川特征
侵蚀,地质作用,外力作用,冰川特征
堆积,地质作用,外力作用,冰川特征
地表形态,地形,地貌,
典型,修饰词,,
冰川特征,地貌特征,地貌,角峰、U型谷
角峰,角峰型,冰川地貌,
U型谷,U型谷型,冰川地貌,
沙丘,沙丘型,风力地貌,
季风环流,大气环流,气候系统,季风特征
影响,动词,,
显著,修饰词,,
夏季,季节,时间,夏季特征
高温多雨,气候特点,气候,夏季特征
冬季,季节,时间,冬季特征
寒冷干燥,气候特点,气候,冬季特征
雨热同期,雨热同期型,气候特征,
特征,概念,,
明显,修饰词,,
季风气候,气候类型,气候,季风特征、雨热同期、风向季变
季风特征,气候特征,气候,雨热同期、风向季变
夏季特征,季节特征,季节,
冬季特征,季节特征,季节,
风向季变,风向季变型,气候特征,
全年少雨,全年少雨型,气候特征,
受,动词,,
气候,概念,,
地貌,概念,,
地形,概念,,
地理,概念,,
地理分区,概念,地理,
地理区域,概念,地理,
地质过程,概念,,
外力作用,概念,,
流水作用,概念,,
地质作用,概念,,
气候系统,概念,,
时间,概念,,
自然地理,概念,,
生态,概念,,
农业,概念,,
产业,概念,,
