关键字,分类,上级,下级
一般,气象与气候,气候系统,14:00
上升,气象与气候,气候系统,全球降水普遍减少、气温升高、非洲北部、更多、降水丰富、海拔较低的沿海平原
下列,气象与气候,气候系统,温带海洋性气候、我国南方地区的降水主要受夏季风影响、亚马孙平原、全球降水普遍减少、欧洲西部、海南岛、热带雨林地区、夏季风强盛的年份、非洲北部、燃烧煤炭，石油等化石燃料、非洲撒哈拉沙漠、北极圈附近、中纬度大陆西岸、南美洲东南部、青藏高原、夏季、我国季风气候的形成主要与海陆热力性质差异有关、我国北方地区冬季寒冷干燥主要受西北风影响、热带沙漠气候、温带海洋性气候全年温和湿润、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原、从山麓到山顶，降水先增多后减少、我国西北地区的干旱主要是因为远离海洋，降水稀少、温带海洋性气候的形成主要受西风带和洋流影响、仙人掌、我国南方地区出现洪涝灾害、温带大陆性气候的冬冷夏热，年温差大、全年寒冷，植被以苔原为主、油橄榄
下沉,气象与气候,气候系统,热带沙漠气候、非洲撒哈拉沙漠
下降,气象与气候,气候系统,8℃、寒冷干燥、冷锋
不利于,气象与气候,气候系统,较大
不同,气象与气候,气候系统,热带沙漠气候、亚热带季风气候、温带季风气候
不足,气象与气候,气候系统,南美洲东南部、降雪、热带沙漠气候、仙人掌
世界,气象与气候,气候系统,我国季风气候的形成主要与海陆热力性质差异有关、海南岛
东北,气象与气候,气候系统,全年炎热干燥
东南,气象与气候,气候系统,更多、全年炎热干燥
东西,气象与气候,气候系统,更多
两极,气象与气候,气候系统,南北纬30°附近
两者,气象与气候,气候系统,亚热带季风气候、温带海洋性气候、热带沙漠气候、非洲撒哈拉沙漠、热带季风气候、温带季风气候
中纬度,气象与气候,气候系统,中纬度大陆西岸、温带海洋性气候、降水丰富、降水集中在夏季、冬冷夏热，降水稀少
中雨,气象与气候,气候系统,暴雨
丰富,气象与气候,气候系统,热带草原、热带季风气候、我国南方地区的降水主要受夏季风影响、亚马孙平原
为主,气象与气候,气候系统,旱地农业、北极圈附近、仙人掌、热带雨林气候、热带沙漠气候、全年寒冷，植被以苔原为主、水稻、温带季风气候
事件,气象与气候,气候系统,某地区冬季出现极端寒潮，气温骤降
二氧化碳,气象与气候,气候系统,燃烧煤炭，石油等化石燃料、全球降水普遍减少
云层,气象与气候,气候系统,较强
云量,气象与气候,气候系统,较强
亚欧大陆,气象与气候,气候系统,我国季风气候的形成主要与海陆热力性质差异有关、没有
亚洲,气象与气候,气候系统,热带季风气候
亚热带,气象与气候,气候系统,亚热带季风气候、温带海洋性气候、温带落叶阔叶林、不结冰、水稻、油橄榄
交替,气象与气候,气候系统,炎热干燥、夏季、地中海气候
产生,气象与气候,气候系统,我国南方地区出现洪涝灾害
人口密度,气象与气候,气候系统,较大
人类,气象与气候,气候系统,全球降水普遍减少、燃烧煤炭，石油等化石燃料、我国南方地区出现洪涝灾害、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原、较大
位于,气象与气候,气候系统,对流雨、亚热带季风气候、甘蔗、温带海洋性气候、热带草原、热带雨林气候、气温升高、地中海气候、内陆地区、降水集中在夏季、较小、南北纬30°-60°之间、温带地区、降雪、陆地、夏季、我国季风气候的形成主要与海陆热力性质差异有关、冰原气候、热带沙漠气候、温带季风气候、全年炎热干燥、西北内陆地区、降水丰富、没有、热带季风气候、南北纬30°附近、更强
位置,气象与气候,气候系统,陆地、青藏高原、温带海洋性气候、西北内陆地区、内陆地区、降水丰富、温带海洋性气候全年温和湿润、较小、温带季风气候
低于,气象与气候,气候系统,冰原气候、亚热带季风气候
低压,气象与气候,气候系统,从陆地吹向海洋
低气压,气象与气候,气候系统,非洲北部、南北纬30°附近、夏季
低温,气象与气候,气候系统,海南岛
低纬度,气象与气候,气候系统,更强
体现,气象与气候,气候系统,寒冷干燥、亚热带季风气候、甘蔗、更高、更多、温带海洋性气候全年温和湿润、较小
作用,气象与气候,气候系统,非洲撒哈拉沙漠、亚热带季风气候、热带雨林地区、A山地
使该,气象与气候,气候系统,中纬度大陆西岸
信风带,气象与气候,气候系统,全年炎热干燥、南美洲东南部、夏季、热带沙漠气候、非洲撒哈拉沙漠
充沛,气象与气候,气候系统,甘蔗
充足,气象与气候,气候系统,降水丰富、非洲北部、甘蔗
光照,气象与气候,气候系统,甘蔗
全球,气象与气候,气候系统,全球降水普遍减少、气温升高、燃烧煤炭，石油等化石燃料、我国南方地区出现洪涝灾害、某地区冬季出现极端寒潮，气温骤降、海拔较低的沿海平原
