关键字,分类,上级,下级
资源型城市,城市类型,城市,矿产资源、产业类型、经济转型、产业单一
城市,概念,,
矿产资源,资源类型,自然资源,资源开发
资源开发,经济活动,资源利用,矿产资源
产业类型,经济概念,产业结构,产业单一
产业结构,经济概念,经济,
集中,特征,分布特征,产业单一
资源枯竭,资源问题,资源,经济转型
经济转型,经济问题,经济发展,产业单一
发展,概念,,
依赖,关系,经济关系,产业单一
问题,概念,,
产业单一,产业单一型,资源型城市,
交通不便,交通不便型,交通问题,
人口稀少,人口稀少型,人口问题,
突出,修饰词,,
区域协调发展,发展战略,区域发展,统筹、空间布局、均衡发展、资源禀赋
区域发展,概念,区域,
统筹,发展理念,协调发展,资源禀赋
考虑,概念,,
各地区,空间概念,区域,
自然条件,地理条件,地理,资源禀赋
发展基础,经济条件,发展,资源禀赋
生态环境,环境,地理环境,
因素,概念,,
优化,概念,,
空间布局,规划概念,区域规划,资源禀赋
促进,概念,,
均衡发展,发展目标,区域发展,资源禀赋
基础条件,条件,发展条件,资源禀赋
资源禀赋,资源禀赋型,自然条件,
气候类型,气候类型型,气候,
地形特征,地形特征型,地形,
板块构造理论,地质理论,地质学,岩石圈、板块、地震、火山、造山运动
地质理论,概念,地质学,
地球,天体,天体系统,
岩石圈,地球圈层,地球结构,板块
板块,地质单元,岩石圈,板块边界、地震、火山
组成,概念,,
若干,数量词,,
板块边界,地质构造,板块,地震、火山、造山运动
相对运动,运动,板块运动,地震
导致,因果关系,,
地震,地震型,地质现象,
火山,火山型,地质现象,
造山运动,造山运动型,地质现象,
地质现象,概念,地质,
发生,概念,,
常见,修饰词,,
沉积,沉积型,地质作用,
风化,风化型,外力作用,
水循环,地理过程,水文过程,蒸发、水汽输送、降水、径流、太阳辐射
自然界,概念,,
水分,物质,水,
通过,概念,,
蒸发,水循环环节,水循环,太阳辐射
水汽输送,水循环环节,水循环,
降水,水循环环节,水循环,
径流,水循环环节,水循环,
环节,概念,,
不断,修饰词,,
运动,概念,,
转化,过程,,
过程,概念,,
联系,概念,,
海洋,地理圈层,地表,
陆地,地理圈层,地表,
大气,地理圈层,地球,
圈层,概念,地球结构,
能量来源,概念,,太阳辐射、地热、生物能
重要,修饰词,,
太阳辐射,太阳辐射型,能量,
地热,地热型,能量,
生物能,生物能型,能量,
大气环流,大气过程,大气运动,三圈环流、季风环流、热力差异
全球范围,空间范围,空间,
大规模,规模,特征,
主要,修饰词,,
包括,概念,,
三圈环流,环流类型,大气环流,热力差异
季风环流,环流类型,大气环流,
形式,概念,,
形成,过程,,
全球气候,气候,气候系统,
气候分布,气候特征,气候,
格局,概念,,
原因,概念,,
根本,修饰词,,
动力,概念,,
热力差异,热力差异型,大气环流动力,
地转偏向力,地转偏向力型,地球自转影响,
摩擦力,摩擦力型,作用力,
