关键字,分类,上级,下级
工业区位因素,区位因素,工业地理,原料、燃料、动力、市场、交通、劳动力、技术
工业地理,概念,地理,
区位因素,概念,地理,
包括,概念,,
原料,原料型,工业区位因素,
燃料,燃料型,工业区位因素,
动力,动力型,工业区位因素,
市场,市场型,工业区位因素,
交通,交通型,区位因素,
劳动力,劳动力型,工业区位因素,
技术,技术型,工业区位因素,
多个,数量词,,
方面,概念,,
不同,修饰词,,
类型,概念,,
主导,修饰词,,
有所不同,修饰词,,
钢铁工业,工业类型,工业,原料、燃料
工业,概念,,
主导区位因素,区位因素,工业区位,原料
环境,环境型,区位因素,
人口迁移,人口现象,人口地理,生计条件、就业机会、经济
人口地理,概念,地理,
人口,概念,,
地区,空间概念,区域,
空间移动,人口现象,人口,
移动,概念,,
受,概念,,
生计条件,经济条件,生活条件,经济
就业机会,经济因素,就业,经济
生活环境,环境,生活,
政策,社会因素,社会,
多种,数量词,,
影响,概念,,
首要,修饰词,,
经济,经济型,迁移因素,
气候,气候型,自然因素,
地形,地形型,自然因素,
交通运输方式,交通类型,交通运输,铁路、公路、水运、航空、管道
交通运输,概念,交通,
方式,概念,,
铁路,铁路型,交通运输方式,
公路,公路型,交通运输方式,
水运,水运型,交通运输方式,
航空,航空型,交通运输方式,
管道,管道型,交通运输方式,
多种类型,概念,,
各,概念,,
优缺点,特征,,
需要,概念,,
根据,概念,,
货物,概念,,
特点,概念,,
运输距离,交通参数,交通,
合理,修饰词,,
选择,概念,,
大宗货物,货物类型,货物,水运
大宗,修饰词,,
运输,交通活动,交通,
适宜,修饰词,,
商业中心,商业区位,商业,市场、交通、人口、可达性
商业,概念,,
中心,概念,,
形成,过程,,
发展,概念,,
可达性,交通条件,交通,
人口密集,人口特征,人口,
经济发达,经济特征,经济,
地区,空间概念,区域,
重要,修饰词,,
区位条件,区位因素,区位,交通
旅游资源,资源类型,旅游,自然旅游资源、人文旅游资源、山岳
旅游,概念,,
资源,概念,,
可分为,概念,,
自然旅游资源,资源类型,旅游资源,山岳、水体、气候
人文旅游资源,资源类型,旅游资源,文物古迹、民俗风情
两大类,分类,,
山岳,山岳型,自然旅游资源,
水体,水体型,自然旅游资源,
文物古迹,文物古迹型,人文旅游资源,
民俗风情,民俗风情型,人文旅游资源,
主要类型,概念,,
建筑,建筑型,人文旅游资源,
民俗,民俗型,人文旅游资源,
