关键字,分类,上级,下级
地理自然系统,通用,无,气象与气候、地形地貌、水文地理、土壤与植被
土壤与植被,生物地理,地理自然系统,土壤、植被、生物循环
土壤,生物地理,土壤与植被,成土因素、土壤性质、土壤类型、土壤肥力
植被,生物地理,土壤与植被,植被类型、植被特征、植被功能
成土因素,生物地理,土壤,成土母质、气候、生物、地形、时间、人类活动
土壤性质,生物地理,土壤,土壤质地、土壤酸碱性、土壤结构、有机质
土壤肥力,生物地理,土壤,肥沃、贫瘠、养分流失、有机质积累
植被特征,生物地理,植被,根系、叶片特征、垂直分异、演替
植被功能,生物地理,植被,保持水土、涵养水源、调节气候、生物多样性
气候,气象与气候,成土因素,降水、气温、光照、干旱、湿润
降水,气象与气候,气候,降水丰富、降水稀少、季节变化大、多雨
气温,气象与气候,气候,高温、低温、寒冷、温和、热量不足
地形,地形地貌,成土因素,坡度、坡向、海拔、山区、平原
坡度,地形地貌,地形,陡坡、缓坡、地表径流速度
成土母质,生物地理,成土因素,石灰岩、花岗岩、砂岩、页岩、矿物质
人类活动,人文地理,成土因素,耕作、施肥、灌溉、退耕还林、破坏植被
红壤,生物地理,土壤类型,亚热带季风气候、酸性、淋溶作用、南方丘陵
黑土,生物地理,土壤类型,温带半湿润草甸草原、肥力高、有机质丰富、东北平原
荒漠土,生物地理,土壤类型,干旱地区、发育差、有机质低、西北内陆
水稻土,生物地理,土壤类型,人工熟化土壤、长期耕作、水田
盐碱土,生物地理,土壤类型,地下水埋深浅、蒸发旺盛、盐分积累、低洼区
棕壤,生物地理,土壤类型,暖温带落叶阔叶林、微酸性、黏化作用
紫色土,生物地理,土壤类型,四川盆地、矿物养分丰富、紫色砂页岩
热带雨林,生物地理,植被类型,全年高温多雨、生物循环旺盛、土壤贫瘠
温带草原,生物地理,植被类型,半干旱地区、草本植物、黑钙土
荒漠植被,生物地理,植被类型,耐旱、根系发达、叶片退化、干旱缺水
常绿阔叶林,生物地理,植被类型,亚热带季风气候、四季常绿、红壤
落叶阔叶林,生物地理,植被类型,温带季风气候、冬季落叶、减少蒸发
高山灌丛草甸,生物地理,植被类型,高海拔、气温低、贴地生长
淋溶作用,生物地理,成土过程,降水丰富、土壤酸化、养分流失
有机质积累,生物地理,成土过程,低温湿润、植物枯枝落叶、微生物分解慢
水土流失,生物地理,环境问题,植被破坏、坡度陡、降水集中、土层变薄
土壤盐碱化,生物地理,环境问题,不合理灌溉、蒸发强、盐分表聚
土地沙化,生物地理,环境问题,植被退化、风力侵蚀、风沙土
保持水土,生物地理,植被功能,减轻侵蚀、增加下渗、减少径流
