关键字,分类,上级,下级
180°经线,天体系统,经线,国际日期变更线
5G基站,技术,新基建,
5G通信,技术,计算机科学,
ALOS,技术,卫星遥感,
APEC,人文,国际组织,
ASEAN,人文,国际组织,
AVHRR,技术,卫星遥感,
BIM技术,建筑,建筑信息模型,三维建模、信息集成、全生命周期管理
BOD传感器,技术,水质传感器,
BREEAM认证,建筑,绿色建筑评价,杰出级、优秀级、良好级、合格级
BRICS,人文,国际组织,
CBD,人文,商业区,
CCER,环境,碳交易,
COD传感器,技术,水质传感器,
CPTPP,人文,区域贸易安排,全面与进步跨太平洋伙伴关系协定、高标准自贸协定
DNA条码,技术,物种识别传感器,
ENSO,气候,厄尔尼诺南方震荡,El Niño、La Niña
ESG投资,环境,碳中和,
EU,人文,国际组织,
EcoHealth,学科,One Health,生态健康
El Niño,气候,ENSO,
FIFA,人文,国际体育组织,
GATT,人文,多边贸易体制,
GDP,人文,宏观经济学,国内生产总值
GIS功能,技术,地理信息系统,数据采集、数据存储、数据处理、数据分析、数据输出
GIS应用,技术,地理信息系统,城市管理、资源管理、环境管理、交通管理
GIS组成,技术,地理信息系统,硬件系统、软件系统、数据、人员
GLONASS,技术,卫星导航,
GNP,人文,宏观经济学,国民生产总值
GPS卫星,技术,卫星导航,
GPS原理,技术,全球定位系统,卫星测距、三角定位
GPS定位原理,技术,GPS原理,卫星三角测量、信号传输、时间同步
GPS应用,技术,全球定位系统,导航定位、测量测绘、时间服务
GPS组成,技术,全球定位系统,空间部分、地面控制部分、用户接收部分
GWP,气候,全球变暖潜能值,
GeoEye,技术,卫星遥感,
GeoHealth,学科,EcoHealth,地理健康
IAEA,人文,国际原子能组织,
ICAO,人文,国际民航组织,
IKONOS,技术,卫星遥感,
ILO,人文,国际劳工组织,
IMF,人文,国际组织,
IMO,人文,国际海事组织,
IOC,人文,国际体育组织,
IPU,人文,国际议会组织,
ITU,人文,国际技术组织,
LEED认证,建筑,绿色建筑评价,白金级、金级、银级、认证级
La Niña,气候,ENSO,
MODIS,技术,卫星遥感,
NAFTA,人文,自由贸易区,
NATO,人文,国际组织,
OPEC,人文,国际组织,
One Health,学科,全球健康,一体化健康
PM1,环境,颗粒物,
PM10,环境,颗粒物,
PM2.5,环境,雾霾,
Pleiades,技术,卫星遥感,
QuickBird,技术,卫星遥感,
RADARSAT,技术,卫星遥感,
RCEP,人文,区域贸易安排,区域全面经济伙伴关系、亚太15国、全球最大自贸区
RCP2.6,气候,RCP情景,
RCP4.5,气候,RCP情景,
RCP6.0,气候,RCP情景,
RCP8.5,气候,RCP情景,
RCP情景,气候,气候情景,RCP2.6、RCP4.5、RCP6.0、RCP8.5
SPOT,技术,卫星遥感,
SRES情景,气候,气候情景,
SSP情景,气候,气候情景,
TerraSAR-X,技术,卫星遥感,
UNCTAD,人文,国际组织,联合国贸易和发展会议、发展中国家贸易促进
UNEP,人文,国际环境组织,
UNESCO,人文,国际教育组织,
UNFCCC,气候,《联合国气候变化框架公约》,
U形谷,地貌,河谷,
VCS,环境,碳交易,
V形谷,地貌,河谷,
WHO,人文,国际卫生组织,
WMO,人文,国际气象组织,
WTO,人文,国际组织,
WTO 2.0,人文,多边贸易体制未来,改革议程、新型包容性、灵活多边主义
WTO与区域贸易协定关系,人文,国际贸易,互补性、冲突性、例外条款
WTO成员资格,人文,WTO,原始成员、加入程序、义务承诺
WTO改革,人文,WTO,上诉机构改革、特殊与差别待遇改革、新议题纳入
WTO第24条,人文,WTO与区域贸易协定关系,区域贸易安排例外、实质性覆盖、合理时间
WTO职能,人文,WTO,贸易自由化、多边贸易规则制定、贸易争端解决、贸易政策审议
